商品标题,商品价格,评论量,标签,商品详情页
美菱(MELING)【光谱养鲜系列】541升法式多门家用电冰箱一级能效风冷无霜双变频净味母婴BCD-541WPU9CY,3899,5000+,自营,https://item.jd.com/100018646607.html
美的(Midea)215升变频一级能效三门家用电冰箱宿舍租房小型小冰箱智能家电节能低噪BCD-215WTPZM(E),1999,20万+,"自营,满1900-200",https://item.jd.com/100012144581.html
统帅（Leader）海尔出品 218升一级能效风冷无霜变频三门家用小型迷你电冰箱超薄 BCD-218WGLC3D7S9U1,1699,2万+,自营,https://item.jd.com/100023282471.html
康佳（KONKA）409升十字四门双对开门电冰箱 高湿锁水 智能喷雾系统 第3代双密技术 全景式大冷藏BCD-409GQ4S,1699,20万+,"自营,秒杀",https://item.jd.com/100018059556.html
美的（Midea）【旗舰品】美的冰箱三门家用双温冷藏冷冻大容量节能保鲜低音三温区三开门超薄电小户型大容量 213阳光米【经济适用款】,1617,1000+,"秒杀,免邮,满1600-370",https://item.jd.com/10047371467017.html
海尔（Haier）223升变频风冷无霜三门小型家用电冰箱一级能效干湿分储中门全变温宿舍租房节能BCD-223WDPT,2099,20万+,"自营,满2000-100,赠",https://item.jd.com/100004328824.html
康佳183升家用租房电冰箱 两天约一度电 小巧不占地,779,200万+,自营,https://item.jd.com/100025634254.html
美的（Midea）470升变频一级能效对开双开门家用冰箱京东小家智能家电风冷无霜BCD-470WKPZM(E)超薄机身可嵌入,2699,20万+,"自营,秒杀,满2000-100",https://item.jd.com/100011151639.html
美的（Midea）325升一级能效双变频法式多门四开门小型家用电冰箱超薄风冷无霜节能低噪BCD-325WFPM(E),3099,5万+,"自营,满2900-400",https://item.jd.com/100024641402.html
美菱(MELING)【离子净系列】一级能效变频271升三门小型电冰箱无霜-32度速冻BCD-271WP3CX中门宽幅变温,2099,2万+,"自营,满2099-100",https://item.jd.com/100018567308.html
TCL 408升养鲜冰箱十字四门多门双对开门风冷无霜电冰箱 AAT负离子养鲜 超薄家用电BCD-408WZ50,1698,20万+,"自营,秒杀,满1700-100,赠",https://item.jd.com/100013116380.html
康佳（KONKA）454升智能双变频一级能效风冷无霜除菌净味大容量对开双开门家用电45DW5PB,1899,10万+,自营,https://item.jd.com/100039846347.html
