商品标题,商品价格,评论量,标签,商品详情页
湿美（MSSHIMEI）HMS-05B恒温恒湿机空调机仓库车间精密电子实验室精密空调器医疗室测试房【企业采购】,26800,500+,"自营,厂商配送",https://item.jd.com/100027628149.html
格力（GREE）1.5匹 云佳 新一级能效 变频冷暖 自清洁 壁挂式空调挂机KFR-35GW/NhGc1B,2999,300万+,自营,https://item.jd.com/100019386660.html
美的（Midea）1.5匹 风酷 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 京东小家智能家电 KFR-35GW/N8XHC1,2699,200万+,"自营,券999-30",https://item.jd.com/100013588053.html
康佳（kmini） 1.5匹 新能效 快速冷暖 一键节能 壁挂式卧室 空调挂机 KFR-35GW/9M5,1599,20万+,自营,https://item.jd.com/100013357641.html
长虹（CHANGHONG）大1匹新一级能效 变频冷暖京小宅 智能卧室空调挂机 京东小家智能生态 KFR-26GW/ZDHQW1+R1,1849,20万+,"自营,每满1800-50",https://item.jd.com/100033711754.html
科龙（KELON）空调 大1匹 新三级能效 急速冷暖 变频节能 壁挂式挂机 京东小家 青春派 KFR-26GW/QTA3(1Q21),1699,20万+,自营,https://item.jd.com/100018042852.html
湿美（MSSHIMEI）HMS-12B恒温恒湿机空调机仓库车间精密电子实验室精密空调器医疗室测试房 【企业采购】,38000,500+,"自营,厂商配送",https://item.jd.com/100027628265.html
格力（GREE）1.5匹 云佳 三级能效 变频冷暖 自清洁 壁挂式卧室空调挂机(KFR-35GW/NhGe3B 珊瑚玉色),2799,300万+,"自营,券999-50",https://item.jd.com/100017981386.html
美的（Midea）1.5匹 风酷 新三级能效 变频冷暖 自清洁 壁挂式 空调挂机 京东小家智能家电 KFR-35GW/N8XHC3,2499,200万+,"自营,券999-30",https://item.jd.com/100013588055.html
TCL 大1匹 新三级能效 变频冷暖 第六感 除菌智清洁壁挂式挂式空调挂机KFRd-26GW/D-XQ11Bp(B3)卧室,1729,50万+,自营,https://item.jd.com/100014129010.html
美的（Midea）大1匹 风酷 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 京东小家智能家电 KFR-26GW/N8XHC1,2499,200万+,"自营,券999-30",https://item.jd.com/100025520132.html
小米（MI）1.5匹 新能效 变频冷暖 智能自清洁 壁挂式卧室空调挂机 KFR-35GW/N1A3 以旧换新,2049,20万+,自营,https://item.jd.com/100010219881.html
湿美（MSSHIMEI）HMS-20B 恒温恒湿机空调机仓库车间精密电子实验室精密空调器医疗室测试房【企业采购】,46800,500+,"自营,厂商配送",https://item.jd.com/100015895137.html
奥克斯(AUX)空调出品华蒜大1.5匹 新一级能效 变频冷暖 节能自清洁 家用出租房卧室客厅 壁挂式挂机,1897,5000+,秒杀,https://item.jd.com/100040980191.html
康佳（KONKA）1.5匹 新能效 快速冷暖 一键节能 以旧换新 变频壁挂式空调挂机 KFR-35GW/Y3,1749,20万+,"自营,每满1700-50",https://item.jd.com/100021827444.html
统帅（Leader）海尔智家 1.5匹壁挂式变频空调挂机 冷暖两用 新能效 自清洁 KFR-35GW/83@T-Xc 以旧换新,1949,1万+,自营,https://item.jd.com/100033834908.html
美的（Midea）大1匹 风酷 新三级能效 变频冷暖 自清洁 壁挂式 空调挂机 京东小家智能家电 KFR-26GW/N8XHC3,2299,200万+,"自营,券999-30",https://item.jd.com/100013588057.html
奥克斯（AUX） 空调 1.5匹 新一级能效 空调挂机 变频冷暖 卧室京东挂式独立除湿KFR-35GW/BpR3AQE1(B1)家用省电,2299,20万+,"自营,秒杀,券5000-200,",https://item.jd.com/100020059664.html
湿美（MSSHIMEI）HMS-03B 恒温恒湿机空调机仓库车间精密电子实验室精密空调器医疗室测试房【企业采购】,29800,0,"自营,厂商配送",https://item.jd.com/100045186109.html
