商品标题,商品价格,评论量,标签,商品详情页
小天鹅（LittleSwan）滚筒洗衣机全自动 水魔方系列 洗烘一体 护色护形 纤维蒸汽烘干 10公斤 TD100V86WMADY5,3799,20万+,自营,https://item.jd.com/8316196.html
小天鹅（LittleSwan）波轮洗衣机全自动 10公斤大容量 升级鲸浪柔洗 免清洗不脏桶 除螨 以旧换新TB100V23H,1549,200万+,"自营,满1400-400,赠",https://item.jd.com/100012411658.html
小天鹅（LittleSwan）波轮洗衣机全自动 直驱变频 10公斤大容量 免清洗不脏桶 升级除螨 以旧换新 TB100V23DB,1549,200万+,"自营,满1500-200,赠",https://item.jd.com/100007166961.html
美的（Midea）波轮洗衣机全自动 V13B 10公斤 健康除螨 专利免清洗 十年桶如新 随心洗系列 MB100V13B,1549,50万+,"自营,满1400-500,赠",https://item.jd.com/100037544124.html
美的（Midea）波轮洗衣机全自动 10公斤家用大容量 健康除螨少残留 内桶免清洗 水电双宽 智能预约 以旧换新 MB100KQ5,1549,2万+,"京东物流,放心购,免邮,券500-20,",https://item.jd.com/10049968294889.html
美的（Midea）滚筒洗衣机全自动 V11D 食用级巴氏除菌洗 BLDC变频 简约触控 简尚系列 10公斤 MG100V11D,1599,50万+,"自营,券1100-100,每满1000-100",https://item.jd.com/100004652001.html
美的（Midea）滚筒洗衣机全自动 V33 洗烘一体 除菌净螨 羽绒云朵烘 智能家电 简尚系列 10公斤 MD100V33WY,2499,50万+,自营,https://item.jd.com/100021267927.html
小天鹅（LittleSwan）滚筒洗衣机全自动 深层除菌净螨 BLDC变频 10公斤大容量 以旧换新 TG100VT096WDG-Y1T,2099,50万+,"自营,券599-30,满1500-300,赠",https://item.jd.com/100018916782.html
小天鹅（LittleSwan）波轮洗衣机全自动 10公斤大容量 鲸浪柔洗 健康免清洗 内桶升级 以旧换新 TB100VC123B,1599,200万+,"自营,券500-20,满1500-400,赠",https://item.jd.com/100015792735.html
美的（Midea）滚筒洗衣机全自动 V33 除菌净螨 变频电机 智能家电 高温筒自洁 简尚系列 10公斤 MG100V33WY,1899,50万+,"自营,券500-20,每满1000-100,赠",https://item.jd.com/100037034488.html
美的（Midea）波轮洗衣机全自动 V13DB 10公斤 直驱变频电机 健康除螨 免清洗 随心洗系列 MB100V13DB,1599,50万+,"自营,券500-20,满1500-300,赠",https://item.jd.com/100040353633.html
小天鹅（LittleSwan）滚筒洗衣机全自动 洗烘一体 深层除菌螨 蒸汽速烘 10公斤 京东小家以旧换新 TD100PURE,2699,50万+,"自营,券599-30,满2000-400,赠",https://item.jd.com/100008184380.html
西门子(SIEMENS) 10公斤变频滚筒洗烘一体机 热风除菌 蒸汽护理 智控烘干（湖蕴蓝）XQG100-WN52A1X14W,5999,20万+,自营,https://item.jd.com/100030401987.html
海尔（Haier）【超薄晶彩新品】海尔洗衣机全自动滚筒洗衣机洗烘一体脱水甩干空气洗专属顽渍洗家用大容量 10KG 洗烘一体【羽绒洗 蒸汽除菌】,3199,1万+,"券699-300,满999-400",https://item.jd.com/10060085677025.html
海尔（Haier) 波轮洗衣机全自动家电 以旧换新 脱水机内衣除螨 10公斤直驱变频 租房神器EB100B20Mate1,1549,100万+,"自营,每满1460-200,赠",https://item.jd.com/100024527488.html
小天鹅（LittleSwan）家用波轮洗衣机全自动10公斤大容量水魔方防缠绕直驱变频智能家电TB100VT818WDCLY,2049,2万+,"自营,赠",https://item.jd.com/100027694693.html
