商品标题,商品价格,评论量,标签,商品详情页
西屋（Westinghouse）破壁机加热家用多功能辅食机智能微压养生破壁料理机预约保温 WFB-D1（磨砂红）,2380,5000+,自营,https://item.jd.com/5955224.html
九阳（Joyoung）肖战推荐 破壁机家用多功能 降噪预约加热豆浆机早餐机绞肉馅机榨汁机辅食L18-Y915S,329.9,100万+,"自营,每满329-10",https://item.jd.com/4422876.html
苏泊尔（SUPOR）轻语系列降噪低音破壁机家用豆浆机 加热全自动榨汁机 搅拌机 辅食 早餐SP613S,399,2万+,"自营,秒杀",https://item.jd.com/100039032489.html
九阳（Joyoung）【肖战推荐】破壁机家用豆浆机多功能智能预约榨汁机搅拌果汁机料理机绞肉机辅食 超高性价比断货款【P155】,699.9,20万+,"京东物流,券279-10,每满679-420",https://item.jd.com/10020041968108.html
美的（Midea）低音破壁机家用安睡系列 轻声细腻搅打降噪榨汁豆浆机辅食料理机轻巧杯体MJ-PB50SF1,499.9,20万+,自营,https://item.jd.com/100037802277.html
九阳（Joyoung）肖战推荐轻音舱45分贝1.5升低音破壁机家用豆浆机 柔音降噪榨汁机料理机辅食 L15-P919,499,50万+,自营,https://item.jd.com/100043141563.html
APIXINTL 日本安本素柔音破壁机家用豆浆机加热全自动榨汁机搅拌机早餐机低音非静音 米白色,419,5000+,,https://item.jd.com/10055211909115.html
苏泊尔(SUPOR)破壁机 家用多功能智能预约加热破壁料理机 榨汁机豆浆机果汁机搅拌机辅食SP503A,269,20万+,"自营,券329-30",https://item.jd.com/100013268734.html
九阳（Joyoung）肖战推荐 破壁机家用多功能加热破壁豆浆机果汁机早餐机榨汁机辅食Y91S,299.9,100万+,"自营,每满299-20",https://item.jd.com/100007735968.html
九阳（Joyoung）肖战推荐破壁机家用多功能智能预约破壁加热豆浆机料理机榨汁机辅食纤薄国潮系列L18-P165,419.9,100万+,"自营,每满419-20",https://item.jd.com/100037918340.html
九阳（Joyoung）破壁机家用免滤豆浆机1.75L大容量高转速榨汁机低音多功能料理机 P132【升级豪华双杯】,799.9,10万+,"自营,每满799-340,赠",https://item.jd.com/10030016054338.html
