商品标题,商品价格,评论量,标签,商品详情页
德业（Deye）除湿机/抽湿机 除湿量12升/天 家用轻音吸湿器地下室干燥机干衣净化 wifi手机控制DYD-E12A3,632,20万+,"自营,1件9折",https://item.jd.com/1133620.html
美的（Midea）家用除湿机 干衣/抽湿机 除湿量12升/天家用除湿器干衣轻音适用/地下室抽湿CF12BD/N7-DN,633,5万+,"自营,品质认证",https://item.jd.com/100005994202.html
湿腾 ST-8156C 除湿机工业除湿量156升/天 240平地下室车间仓库除湿大功率商用抽湿器,2980,500+,,https://item.jd.com/28549185022.html
德业（Deye）除湿机/抽湿机 除湿量22升/天 家用轻音地下室干衣除湿器干燥机DYD-T22A3,1238,10万+,"自营,秒杀,券1488-200",https://item.jd.com/5776918.html
米家 小米除湿机 家用抽湿机 大除湿量 每日可达22L 五重降噪 卧室轻音 除潮空气 干衣机 智能互联,1199,2万+,自营,https://item.jd.com/100016334291.html
奥克斯（AUX）奥克斯（AUX） 除湿机家用卧室去湿器吸湿干燥除潮防潮小型抽湿神器地下室KDY-DZ04 白色,329,2万+,"自营,每满300-90",https://item.jd.com/10043207071189.html
湿腾ST-820CH梅雨季家用除湿机抽湿机 wifi智控除湿量卧室卫生间大面积干燥吸湿器,1280,54,,https://item.jd.com/10038620593892.html
美的（Midea）家用除湿机 干衣/抽湿机 除湿量18升/天 大平层/地下室吸湿 轻音智能CF18BD/N7-DF3,1055,2万+,"自营,品质认证,1件9折",https://item.jd.com/100005994204.html
美的（Midea）家用除湿机 京东小家Wifi智能生态 小海绵抽湿机/除湿量30升/天大面积工业吸湿CF30BD/N7-DP5,1555,2000+,"自营,1件9折",https://item.jd.com/100023529953.html
德业（Deye）除湿机/抽湿机 京东小家智能生态 除湿量20升/天 家用轻音干燥地下室吸湿app智控 DYD-W20A3,1110,5万+,"自营,1件9折",https://item.jd.com/100002541153.html
德业（Deye）除湿机/抽湿机 除湿量50升/天 App手机遥控 家用地下室复式别墅商用工业吸湿 DYD-D50A3,2220,5万+,"自营,1件9折",https://item.jd.com/1060861.html
志高（CHIGO） 除湿机 家用抽湿机除湿器 卧室地下室干燥机 吸湿去湿除潮防潮小型抽湿神器 【湿度设定+LED触屏+香薰】遥控旗舰款,269,1万+,"京东物流,免邮,每满259-30",https://item.jd.com/10049216439709.html
