商品标题,商品价格,评论量,标签,商品详情页,好评数量,中评数量,差评数量,分数
（Haier）冰箱四开十字双对开门风冷无霜一级能效双变频家用大容量家电冰箱BCD-406WLHTDEDB9,3499,2,自营,https://item.jd.com/100051989649.html,-1,0,0,100%
（Haier）冰箱四开十字双对开门风冷无霜一级能效双变频家用大容量家电冰箱BCD-406WLHTDEDB9,3499,2,"自营,厂商配送,新品",https://item.jd.com/100051989649.html,-1,0,0,100%
【家用出租房公寓必选】Ronsleda一级能效小冰箱迷你家用双 门租房宿舍冰箱 66升加厚90厘米高冷冻两层冷藏三层,465,200+,"满499-8,赠",https://item.jd.com/10049408681429.html,(400+),-1,-1,99%
【建议下单】日本原装进口401升日立冰箱自动制冰超大容量,11800,1000+,"自营,厂商配送",https://item.jd.com/100019000634.html,(600+),-5,-5,97%
【京东金榜】海尔216升三门风冷无霜冰箱 软冷冻 独立三温,1799,2万+,"自营,厂商配送",https://item.jd.com/100012884734.html,(5700+),(30+),(30+),98%
【京东金榜】海尔冰箱风冷无霜 智能双变频 一级能效 干湿分储,2199,5000+,"自营,厂商配送",https://item.jd.com/100041163611.html,(2600+),(10+),(10+),98%
【日立冰箱】大魔王平嵌735升大容量日本原装进口旗舰机,46500,100+,"自营,厂商配送",https://item.jd.com/100009250145.html,(60+),0,0,98%
ASIKEE双开门冰箱 智能变频大容量风冷无霜带吧台制冰冰箱电脑控温家用冰箱HD-58TEA,5599,200+,满5555-600,https://item.jd.com/61279272615.html,(100+),0,0,100%
Haier/海尔冰箱三门213升风冷无霜大容量家用电冰箱 三开门小型宿舍租房BCD-213WMPS,1899,1万+,"免邮,每满1899-100",https://item.jd.com/26597129560.html,(100+),-1,-1,98%
Haier/海尔冰箱双门小冰箱小型迷你家用家电超薄风冷无霜/直冷二门节能电冰箱 190升双门风冷无霜190WDCO,1799,10万+,"京东物流,免邮",https://item.jd.com/31106890968.html,(3.4万+),(200+),(200+),98%
