商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
【★★新款低价999】松下8公斤全自动波轮洗衣机,999,1000+,,,https://item.jd.com/10037760633582.html,(900+),-3,-3,99%
【10kg直驱变频低噪】创维全自动滚筒洗衣机,1299,20万+,,自营,https://item.jd.com/100031964454.html,(10万+),(800+),(800+),97%
【23年重磅新品】双擎热泵直驱洗干套,9999,80,,,https://item.jd.com/10067579620556.html,(40+),0,0,100%
【8公斤除菌除螨滚筒】创维超薄低噪节能全自动洗衣机,1149,20万+,,自营,https://item.jd.com/100002220113.html,(10万+),(800+),(800+),97%
【8公斤全自动洗衣机】创维桶自洁波轮,649,20万+,,自营,https://item.jd.com/5178968.html,(10万+),(600+),(600+),98%
【爆款】海尔洗衣机全自动10公斤 快洗快脱 省水省电,999,1000+,,,https://item.jd.com/10029960945551.html,(400+),-1,-1,99%
【超薄晶彩洗烘新品】海尔洗衣机全自动滚筒洗烘一体机10公斤大容量晶彩屏蒸汽除菌螨智能烘干以旧换新 晶彩屏+洗烘一体+智能烘干+空气洗+香薰洗+,2999,5000+,,"免邮,券999-100,满2800-301",https://item.jd.com/10059906916054.html,(3500+),-10,-10,98%
【超薄晶彩洗烘新品】海尔洗衣机全自动滚筒洗烘一体机10公斤大容量晶彩屏蒸汽除菌螨智能烘干以旧换新 晶彩屏+洗烘一体+智能烘干+空气洗+香薰洗+羽绒洗,2999,5000+,,,https://item.jd.com/10059906916054.html,(3500+),-10,-10,98%
【京东金榜TOP】10KG小天鹅洗衣机 变频桶自洁 健康除菌,1799,1万+,,"自营,厂商配送",https://item.jd.com/100014843433.html,(7000+),(10+),(10+),99%
【旗舰款】8KG洗衣机全自动申花小型波轮 蓝光健康洗,458,5万+,,,https://item.jd.com/71879844651.html,(1.5万+),(200+),(200+),94%
Haier【新品】海尔洗衣机滚筒洗烘一体机全自动10公斤大容量微蒸汽杀菌除螨空气洗一级能效智能变频 洗烘一体+空气洗+智慧洗+双喷淋+羽绒洗,3099,1万+,,"京东物流,免邮,券2800-400",https://item.jd.com/10029778497850.html,(5800+),(10+),(10+),99%
LG 9KG滚筒洗衣机全自动 475mm超薄机身 AI直驱变频电机 14分钟快洗 95℃高温洗 奢华白 FCY90N2W,2699,5万+,,"自营,券1500-120,赠",https://item.jd.com/100024557796.html,(2.5万+),(100+),(100+),98%
LG 洗烘套装10kg全自动蒸汽洗+10kg变频热泵烘干 除菌除螨FCY10Y4W+RH10V3AV6W（附件商品仅展示）,9699,5000+,,自营,https://item.jd.com/100026065584.html,(2900+),(10+),(10+),98%
LG 星云系列 10公斤超薄 蒸汽除菌 AIDD直驱变频 家用全自动 滚筒洗衣机 FCY10Y4M,2799,5万+,,"自营,券1500-120,赠",https://item.jd.com/100036244705.html,(2.5万+),(100+),(100+),98%
LG 星云系列 10公斤超薄 蒸汽除菌 AIDD直驱变频 家用全自动 洗烘一体机 滚筒洗衣机 FCY10R4M,3399,5万+,,"自营,券1500-120,赠",https://item.jd.com/100036244697.html,(2.5万+),(100+),(100+),98%
TCL 10KGDD直驱V160变频滚筒洗衣机洗烘一体 45分贝低音洗涤 微蒸空气洗 超薄除菌G100V160-HD,1999,10万+,,"自营,厂商配送,满1000-200",https://item.jd.com/100032637967.html,(5.1万+),(200+),(200+),98%
TCL 10KG波轮T100大容量洗衣机全自动波轮洗衣机 宽电压水压 整机保修三年 洁净桶风干B100T100,929,200万+,,自营,https://item.jd.com/100026627846.html,(118万+),(7500+),(7500+),98%
TCL 10KG大容量波轮洗衣机模糊控制洗脱一体宽电压水压 整机保修三年 洁净桶风干B100L100,879,200万+,,"自营,满859-30",https://item.jd.com/100014138560.html,(118万+),(7500+),(7500+),98%
TCL 10公斤大容量DDM直驱变频全自动波轮洗衣机 整机保修三年 0.9洗净比 一级能效 B100T100-D,1349,200万+,,"自营,厂商配送,满1000-300,赠",https://item.jd.com/100031697768.html,(118万+),(7500+),(7500+),98%
TCL 10公斤大容量DDM直驱变频全自动波轮洗衣机 整机保修三年 0.9洗净比 一级能效 B100T100-D,1349,200万+,,"自营,厂商配送",https://item.jd.com/100031697768.html,(118万+),(7500+),(7500+),98%
TCL 4KG波轮迷你洗衣机宿舍租房神器全自动波轮小型迷你洗衣机 单脱水 租房必备 XQB40-36SP,569,100万+,,"自营,厂商配送",https://item.jd.com/100020504846.html,(77万+),(4300+),(4300+),98%
TCL 5.5KG波轮洗衣机宿舍租房神器小型迷你全自动洗衣机 一键脱水 小型便捷波轮XQB55-36SP,597,50万+,,自营,https://item.jd.com/1451400.html,(56万+),(4300+),(4300+),98%
TCL 6KG波轮洗衣机智能模糊控制全自动波轮小型洗衣机 一键脱水 10种洗涤程序 便捷XQB60-21CSP,629,20万+,,"自营,赠",https://item.jd.com/967500.html,(17万+),(1100+),(1100+),98%
TCL 6公斤大容量波轮洗衣机全自动小型洗衣机租房神器 超薄机身 一键脱水 便捷家用（亮灰色） 波轮,629,2000+,,自营,https://item.jd.com/10039598191029.html,(700+),-4,-4,99%
TCL 6公斤全自动小型洗衣机,629,2000+,,自营,https://item.jd.com/10039598191029.html,(700+),-4,-4,99%
TCL 7KG波轮洗衣机智能模糊控制全自动波轮小型洗衣机 一键脱水 24小时预约 便捷XQB70-36SP,699,50万+,,"自营,满680-30",https://item.jd.com/4629832.html,(31万+),(1300+),(1300+),99%
TCL 8KG变频滚筒L120除菌洗衣机 蒸汽除菌 消毒预洗 夜间洗羽绒洗全自动滚筒超薄G80L120-B,1279,10万+,,自营,https://item.jd.com/100018878684.html,(5.1万+),(200+),(200+),98%
TCL 8KG大容量波轮洗衣机全自动波轮小型洗衣机 租房神器 整机保修三年 23分钟快洗 一键脱水 B80L100,729,200万+,,"自营,满720-30",https://item.jd.com/100037432256.html,(118万+),(7500+),(7500+),98%
TCL 8KG大容量波轮洗衣机全自动小型洗衣机 租房神器 整机保修三年 超薄机身 一键脱水 桶风干B80V100,819,200万+,,"自营,满500-50,赠",https://item.jd.com/100037432218.html,(77万+),(4300+),(4300+),98%
TCL 十公斤全自动变频洗衣机TG-V100B芭蕾白（企业采购）,6999,1,,自营,https://item.jd.com/100019408437.html,(100+),0,0,98%
TCL 一级能效 洗衣机 滚筒洗衣机 10公斤家用大能量 G100F12C-HD星云蓝 企业采购,9999,2,,自营,https://item.jd.com/100019479965.html,(100+),0,0,98%
TCL10KGDD直驱V160变频香薰护理除菌净螨45分贝低音洗涤热力除菌超薄全自动滚筒G100V160-D,1699,10万+,,自营,https://item.jd.com/100050309307.html,(5.1万+),(200+),(200+),98%
TCL10KGDD直驱V160变频香薰护理除菌净螨45分贝低音洗涤热力除菌超薄全自动滚筒G100V160-D,1699,10万+,,"自营,新品,满1000-200",https://item.jd.com/100050309307.html,(5.1万+),(200+),(200+),98%
TCL10KG变频滚筒L130香薰除菌超薄全自动滚筒洗衣机 洗烘一体 热力除菌 60度低温柔烘 G100L130-HB,1799,10万+,,"自营,赠",https://item.jd.com/100037687638.html,(5.1万+),(200+),(200+),98%
TCL10KG香薰除菌L130全自动变频滚筒洗衣机 15分钟快洗 热力除菌 整机保修三年 超薄G100L130-B,1329,10万+,,自营,https://item.jd.com/100037687620.html,(5.1万+),(200+),(200+),98%
TCL12KG双子舱T300复式分区变频洗衣机母婴分类 除菌除螨 APP智控 双筒全自动滚筒G120T300-BYW,3999,1000+,,"自营,厂商配送,新品",https://item.jd.com/100046858611.html,(800+),-2,-2,99%
TCL7.5~8KG波轮全自动大容量洗衣机家用洗衣机租房宿舍低噪洗衣防缠绕+通风干自洁+全天预约洗涤 B75V100 波轮,699,200+,,自营,https://item.jd.com/10062677337496.html,(80+),-1,-1,92%
TCL8公斤全自动变频滚筒洗衣机 香薰除菌 热力除菌 中途添衣 1.06洗净比 超薄洗衣机G80L130-B,1248,10万+,,"自营,秒杀,满1260-30",https://item.jd.com/100024094597.html,(5.1万+),(200+),(200+),98%
YANGZI10公斤洗衣机全自动家用大容量智能蓝光波轮洗烘一体风干出租房热烘干 10公斤蓝光纳米健康洗/智能强力风干,468,1000+,,,https://item.jd.com/10059368983512.html,(200+),-5,-5,86%
YANGZI10公斤洗衣机全自动家用大容量智能蓝光波轮洗烘一体风干出租房热烘干 10公斤蓝光纳米健康洗/智能强力烘干,628,1000+,,,https://item.jd.com/10059368983513.html,(200+),-5,-5,86%
YANGZI10公斤洗衣机全自动家用大容量智能蓝光波轮洗烘一体风干出租房热烘干 6公斤公斤蓝光纳米健康洗/智能强力风干,370,1000+,,,https://item.jd.com/10059368958106.html,(200+),-5,-5,86%
YANGZI10公斤洗衣机全自动家用大容量智能蓝光波轮洗烘一体风干出租房热烘干 7.5公斤 蓝光纳米健康洗/智能强力风干,428,1000+,,,https://item.jd.com/10059368958107.html,(200+),-5,-5,86%
YANGZI10公斤洗衣机全自动家用大容量智能蓝光波轮洗烘一体风干出租房热烘干 8.0公斤蓝光纳米健康洗/智能强力风干,428,1000+,,,https://item.jd.com/10059368958108.html,(200+),-5,-5,86%
YANGZI10公斤洗衣机全自动家用大容量智能蓝光波轮洗烘一体风干出租房热烘干 8.5公斤蓝光纳米健康洗/智能强力风干,438,1000+,,,https://item.jd.com/10059368958109.html,(200+),-5,-5,86%
YANGZI洗衣机全自动10公斤波轮洗烘一体大容量租房宿舍智能家电节能省电洗衣机 6公斤公斤蓝光纳米健康洗/智能强力风干,370,200+,,,https://item.jd.com/10059368085827.html,(100+),-3,-3,96%
爱心东东【一线品牌】洗衣机全自动家用宿舍大容量10公斤洗烘一体智能租 25KG大容量加厚升级款,1699,4,,赠,https://item.jd.com/10066990237085.html,0,0,0,100%
爱心东东【一线品牌】长虹洗衣机全自动家用宿舍大容量10公斤洗烘一体智能租 6.5KG智能风干+顺丰入户,669,0,,赠,https://item.jd.com/10066990234296.html,0,0,0,100%
