商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
?美的新品热水器T0P1?一级节能3200W大水量动态监测,1699,50万+,,自营,https://item.jd.com/100029046926.html,(43万+),(1400+),(1400+),98%
海尔（Haier）海尔电热水器60升一级能效 3300W速热 大水量5倍增容 防漏电专利防电墙ES10U家用速热 人气【一级能效三挡变频】海尔统帅60,1169,2000+,,"秒杀,券1000-50",https://item.jd.com/10052190005270.html,(900+),-4,-4,98%
美的（Midea）热水器2200W速热WIFI智控一级能效ECO节能72小时保温6重安防60升储水式电F6022-JM1(HE),999,50万+,,"自营,每满800-50,赠",https://item.jd.com/100019884979.html,(43万+),(1400+),(1400+),98%
美的（Midea）16升燃气热水器天然气智控增压恒温水伺服ECO节能省气低水压启动以旧换新JSQ30-MK3 京东小家智能,1529,50万+,,"自营,满1000-200,赠",https://item.jd.com/100008168207.html,(32万+),(2500+),(2500+),98%
万和（Vanward）燃气热水器 家用 一键节能高达20% 智能自适温 变频恒温 私人订制模式 APP智控JSQ24-365T12【天然气】12升 66重安全防护,1098,5万+,,"京东物流,免邮,每满1098-349",https://item.jd.com/10036383473357.html,(1.9万+),(90+),(90+),98%
海尔（Haier）16升大升数燃气热水器天然气水气双调智能恒温多重防冻五重净化家用JSQ30-16UTS(12T),1149,100万+,,"自营,每满1000-100",https://item.jd.com/100004582085.html,(56万+),(1900+),(1900+),99%
志高（CHIGO）热水器电家用洗澡储水式2000W速热安全节能DSZF-40LP彩屏圆桶数显款,379,2000+,,"自营,厂商配送",https://item.jd.com/100044811915.html,(2100+),-8,-8,98%
海尔（Haier）16升燃气热水器天然气无级变频水伺服恒温智护自洁家用智慧节能JSQ30-16JM6(12T)U1 京东小家智能,1599,100万+,,"自营,满1000-200,赠",https://item.jd.com/100008185306.html,(56万+),(1900+),(1900+),99%
史密斯.劳伦【免费上门安装】即热式电热水器电家用洗澡水电分离即热热水器 【7500W黑色】升级款+大屏恒温,1099,5000+,,券149-15,https://item.jd.com/10057854297062.html,(1200+),(10+),(10+),98%
飞利浦（PHILIPS）即热式电热水器 电即热8500W速热无极变频智能恒温无胆免储水 淋浴洗澡水电分离AWH1028/93,1379,2000+,,"自营,券1500-120,每满1200-100",https://item.jd.com/100037591427.html,(700+),(10+),(10+),94%
统帅(Leader) 海尔出品电热水器电储水式热水器一级能效家用节能恒温小体积上门安装LD5 60升【2-3人】,1249,2万+,,"免邮,满1099-470",https://item.jd.com/10043720162269.html,(8800+),(40+),(40+),98%
美的储水式电热水器电多升数可选3200W变频速热健康洗水质可视化一级能效漏电断电安全防电墙MC6S 一级变频水质可视60升F6032-MC6S(HE),1299,5000+,,"京东物流,免邮,每满1290-200,赠",https://item.jd.com/10060594888649.html,(2600+),(20+),(20+),97%
志高（CHIGO）12升燃气热水器家用平衡式速热智能恒温水气双调即开即热浴室可装安心用JSG23（天然气）,899,1000+,,"自营,厂商配送",https://item.jd.com/100044811841.html,(1000+),0,0,99%
樱花（SAKURA）燃气热水器天然气智能精控恒温直流变频降噪触控强排式低压启动多重安全防护宽幅调温 JSQ25-NJP007【智能恒温】13L天然气,1499,1000+,,"自营,券3000-100,满1150-100",https://item.jd.com/10052535773436.html,(600+),-6,-6,97%
