商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
华为Vision智慧屏 65英寸超薄全面屏 4K超高清120Hz高刷智能液晶平板电视机 HD65MILA,3599,50万+,,自营,https://item.jd.com/100041691536.html,(25万+),(1300+),(1300+),98%
小米电视EA75 75英寸 金属全面屏 远场语音 逐台校准4K超高清智能教育电视机L75M7-EA以旧换新,2899,100万+,,自营,https://item.jd.com/100020960942.html,(61万+),(2200+),(2200+),98%
Vidda 海信 R55 55英寸 4K超高清 超薄电视 全面屏电视 智慧屏 1.5G+8G 智能液晶以旧换新55V1F-R,1349,100万+,,自营,https://item.jd.com/100007826443.html,(48万+),(2500+),(2500+),98%
Vidda 海信 R43 2023款 43英寸 金属护眼全面屏 超薄电视 智慧屏 全高清 智能液晶以旧换新43V1H-R,899,20万+,,自营,https://item.jd.com/100038554425.html,(12万+),(600+),(600+),98%
Vidda 海信 R50 50英寸 4K超高清 超薄电视 全面屏电视 智慧屏 1.5G+8G 智能液晶以旧换新50V1F-R,1249,100万+,,自营,https://item.jd.com/100017255722.html,(48万+),(2500+),(2500+),98%
海信电视65E3H 65英寸 4K超高清 无边全面屏 远场语音 2+16GB内存 液晶智慧屏 智能教育机以旧换新,2599,50万+,,"自营,满2000-700",https://item.jd.com/100036342265.html,(25万+),(600+),(600+),99%
TCL电视 75V8E 75英寸 4K超高清 120Hz防抖 130%高色域全面屏 智能液晶平板电视机 2+32G 京东小家,3999,2万+,,自营,https://item.jd.com/100033021776.html,(8900+),(20+),(20+),98%
海信电视 55E3G-PRO 55英寸4K 120Hz防抖2+32G内存远场语音智能超薄全面屏液晶平板机 以旧换新,2599,50万+,,"自营,满2000-800",https://item.jd.com/100030904212.html,(25万+),(600+),(600+),99%
华为智慧屏 SE75 MEMC迅晰流畅 75英寸超薄全面屏 4K超高清智能电视 2GB+16GB 星际黑HD75KHAA,3599,50万+,,自营,https://item.jd.com/100045605959.html,(25万+),(1300+),(1300+),98%
酷开 创维出品 P31 65英寸4K超高清超薄全面屏护眼 2+8G智能语音平板游戏液晶机以旧换新65P31,1799,20万+,,自营,https://item.jd.com/100022465306.html,(16万+),(900+),(900+),98%
华为Vision智慧屏 75英寸超薄全面屏 4K超高清120Hz高刷智能液晶平板电视机 HD75MILA,4999,50万+,,自营,https://item.jd.com/100038141083.html,(25万+),(1300+),(1300+),98%
TCL电视 75V6D 75英寸 2+32GB大内存 AI声控超薄全面屏 MEMC防抖 4K超清 液晶网络智能机,3299,10万+,,"自营,满2000-500",https://item.jd.com/100021087339.html,(6.8万+),(300+),(300+),98%
华为智慧屏 SE 65英寸 2+16GB 超薄全面屏电视 广色域鸿鹄画质 4K超高清智能液晶机HD65DESA,2299,50万+,,自营,https://item.jd.com/100013570347.html,(25万+),(1300+),(1300+),98%
