商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
九阳（Joyoung）【肖战推荐】破壁机家用豆浆机多功能智能预约榨汁机搅拌果汁机料理机绞肉机辅食 超高性价比断货款【P155】,679.9,20万+,,"京东物流,券279-10,每满679-400",https://item.jd.com/10020041968108.html,(4.8万+),(800+),(800+),96%
美的（Midea）低音破壁机家用安睡系列 轻声细腻搅打降噪榨汁豆浆机辅食料理机轻巧杯体MJ-PB50SF1,499,20万+,,"自营,秒杀,每满489-100",https://item.jd.com/100037802277.html,(21万+),(800+),(800+),99%
【旗舰新品】蓝宝俯视触控不弯腰破壁机更人性化设计,409,10万+,,自营,https://item.jd.com/100044971055.html,(2.1万+),(200+),(200+),97%
苏泊尔（SUPOR） 破壁机豆浆机家用降噪低音免过滤榨果汁机婴儿辅食米糊磨粉多功能料理机 升级降噪版,309,5万+,,"京东物流,秒杀,免邮,每满300-50",https://item.jd.com/10038436612340.html,(1.6万+),(200+),(200+),97%
九阳（Joyoung）肖战推荐 破壁机家用多功能 降噪预约加热豆浆机早餐绞肉馅榨汁机辅食L18-Y915S,329.9,100万+,,"自营,每满319-20",https://item.jd.com/4422876.html,(39万+),(6200+),(6200+),97%
九阳（Joyoung）破壁机家用免滤豆浆机1.75L大容量高转速榨汁机低音多功能料理机 P132【升级豪华双杯】,799.9,10万+,,"自营,每满799-340,赠",https://item.jd.com/10030016054338.html,(3.1万+),(300+),(300+),97%
九阳（Joyoung）破壁机家用豆浆机真空高速榨汁机低音智能预约多功能料理免洗搅拌辅食【肖战推荐】 Y66【真空保鲜 热烘除菌】,1599.9,1万+,,自营,https://item.jd.com/10027735196220.html,(2800+),(40+),(40+),96%
苏泊尔（SUPOR）） 有罩低噪破壁机智能家用加热豆浆破壁料理机多功能全自动 SP612S,399,5000+,,"自营,秒杀,每满449-50",https://item.jd.com/10062505193569.html,(1200+),(10+),(10+),97%
九阳（Joyoung）肖战推荐轻音舱45分贝1.5升低音破壁机家用豆浆机 柔音降噪榨汁机料理机辅食 L15-P919,499,50万+,,自营,https://item.jd.com/100043141563.html,(8.9万+),(2100+),(2100+),95%
美的（Midea）破壁机家用大容量多功能早餐豆浆机榨果汁料理辅食机精钢8叶刀头MJ-PB40E254D/254E,319,50万+,,"自营,每满300-30",https://item.jd.com/100011197146.html,(16万+),(1700+),(1700+),98%
苏泊尔（SUPOR）轻语系列降噪低音破壁机家用豆浆机 加热全自动榨汁机 搅拌机 辅食 早餐SP613S,399,2万+,,"自营,闪购",https://item.jd.com/100039032489.html,(3300+),(50+),(50+),97%
美的（Midea）安睡破壁机1.2升低音 预约定时隔音降噪细腻搅打豆浆机辅食料理机 触控款MJ-PB40ST11,529,1000+,,"自营,券11-10,每满529-90",https://item.jd.com/10064297335469.html,(500+),-8,-8,97%
博世（Bosch）博世（Bosch） 加热破壁机家用豆浆机高端料理机【99%破壁率】自清洁多功能辅食 MMBH512SCN 浅银灰,1899,2000+,,,https://item.jd.com/10024677846350.html,(500+),-5,-5,96%
美的（Midea）破壁机1.75L家用多功能料理大容量豆浆机果汁榨汁婴儿辅食高温清洗PB10X2-100A/100C,289,50万+,,自营,https://item.jd.com/100021098322.html,(16万+),(1700+),(1700+),98%
蓝宝( BLAUPUNKT)柔音破壁机家用豆浆机加热全自动榨汁机搅拌机辅食早餐53分贝PB02云母灰,499,10万+,,自营,https://item.jd.com/100037918318.html,(2.1万+),(200+),(200+),97%
蓝宝( BLAUPUNKT)柔音破壁机家用豆浆机加热全自动榨汁机搅拌机辅食早餐53分贝PB02白色,554,10万+,,"自营,1件9折",https://item.jd.com/100024689054.html,(2.1万+),(200+),(200+),97%
美的（Midea） 柔音破壁机家用豆浆机低音全自动榨汁机安睡智能辅食隔音罩降噪料理机早餐 【低音40分贝】 MJ-PB40ST11,499,1000+,,"自营,每满499-60",https://item.jd.com/10062642302227.html,(400+),-5,-5,98%
美的（Midea）破壁机家用早餐豆浆机多功能辅食料理机榨果汁不沾底盘 MJ-PT11,299,50万+,,"自营,每满289-50",https://item.jd.com/100035598258.html,(16万+),(1700+),(1700+),98%
摩飞电器（Morphyrichards）豆浆机 家用破壁机 全自动清洗免过滤 低音降噪 多功能菜单可预约 600ml MR8200 蓝色,498,1万+,,自营,https://item.jd.com/100036734320.html,(2700+),(10+),(10+),98%
九阳（Joyoung）肖战推荐破壁机家用多功能智能预约破壁加热豆浆机料理机榨汁机辅食纤薄国潮系列L18-P165,399.9,100万+,,"自营,每满419-20",https://item.jd.com/100037918340.html,(35万+),(6200+),(6200+),96%
美的（Midea） 破壁机家用豆浆机 细腻免滤 触控加热多功能榨汁机婴儿辅食机智能预约早餐沙冰机 【薄底座】MJ-PT53,259,2000+,,"京东物流,秒杀,免邮",https://item.jd.com/10055812983616.html,(600+),-5,-5,97%
小浣熊破壁机家用豆浆机降噪长时预约加热保温迷你小型果汁榨汁高速搅拌料理机免洗免滤免泡辅食早餐 1L绿色大屏旗舰款,299,20万+,,自营,https://item.jd.com/10064974700813.html,(800+),-5,-5,99%
ankale 德国 破壁机家用豆浆机小型迷你全自动多功能免煮免过滤1-2人 升级款-薄荷绿450ML【八叶刀片/细腻无渣】 多功能,189,2万+,,每满179-30,https://item.jd.com/10054248670493.html,(6500+),(30+),(30+),99%
美的（Midea） 破壁机家用豆浆机多功能智能预约料理机榨汁机果汁机宝宝辅食 高性价比断货款 MJ-PT13,269,1000+,,"自营,每满269-20",https://item.jd.com/10060374147711.html,(200+),-5,-5,95%
西屋（Westinghouse）破壁机加热家用多功能辅食机智能微压养生破壁料理机预约保温 WFB-D1（磨砂红）,2380,5000+,,自营,https://item.jd.com/5955224.html,(5700+),(10+),(10+),99%
小熊（Bear）低音破壁机 家用迷你豆浆机 降噪 一键清洗 多功能料理机榨汁机 55分贝低音运行 PBJ-B06K8 1L,419,50万+,,"自营,秒杀,满419-20",https://item.jd.com/100017849693.html,(22万+),(1100+),(1100+),99%
美的（Midea）破壁机1.75L大容量家用多功能豆浆机厨房料理机榨汁机婴儿辅食器MJ-PB10M2-165,419,50万+,,"自营,每满359-50",https://item.jd.com/100033821582.html,(16万+),(1700+),(1700+),98%
西屋（Westinghouse）静柔音破壁机家用豆浆机加热全自动榨汁机搅拌机降噪辅食 WPB09J7杏仁白,449,2万+,,"自营,厂商配送",https://item.jd.com/100024118981.html,(7300+),(90+),(90+),97%
奥克斯 AUX 破壁机家用豆浆机大容量 3人以上榨汁机全自动加热破壁料理机多功能辅食预约早餐PB9590,255,10万+,,"自营,1件9折",https://item.jd.com/100024398138.html,(2.9万+),(600+),(600+),96%
小熊（Bear）低音破壁机 可拆刀洗 家用多功能豆浆机 热除菌清洗 多维降噪智能预约 52分贝 PBJ-D12V1 1.75L,599,50万+,,"自营,新品,满599-50",https://item.jd.com/100043363581.html,(22万+),(1100+),(1100+),99%
九阳（Joyoung）破壁机家用静柔音豆浆机加热降噪低音大容量搅拌机料理榨汁机轻音舱45分贝P919 P919单杯,649,2000+,,,https://item.jd.com/10062665540777.html,(1300+),-7,-7,99%
京品家电九阳（Joyoung）肖战推荐 破壁机家用三重降噪加热豆浆机果汁机早餐榨汁机辅食1.75L大容量L18-Y928S,379.9,50万+,,自营,https://item.jd.com/100008184246.html,(8.9万+),(2100+),(2100+),95%
九阳（Joyoung） 破壁机 家用豆浆机高速多功能料理机冷热双打榨汁机全自动易清洗辅食P128 【冷热双用】一多打-单杯,329.9,5000+,,"京东物流,免邮,满299-20",https://item.jd.com/10023609947773.html,(1000+),(20+),(20+),95%
ankale 破壁机家用小型1-2人多功能迷你全自动加热免煮免过滤一人食豆浆机榨汁机辅食料理机 升级款-薄荷绿450ML【八叶刀片/细腻无渣】,148,1万+,,"自营,新品,秒杀",https://item.jd.com/10064834537924.html,(2000+),(30+),(30+),97%
ankale 破壁机家用小型1-2人多功能迷你全自动加热免煮免过滤一人食豆浆机榨汁机辅食料理机 升级款-优雅白450ML【八叶刀片/细腻无渣】,149,1万+,,"自营,新品",https://item.jd.com/10064834537927.html,(2000+),(30+),(30+),97%
苏泊尔(SUPOR)破壁机 家用多功能智能预约加热破壁料理机 榨汁机豆浆机果汁机搅拌机辅食SP503A,285,20万+,,"自营,券329-30",https://item.jd.com/100013268734.html,(5万+),(1200+),(1200+),95%
九阳（Joyoung）肖战同款免手洗破壁机 低噪音不用手洗高端多功能预约热烘除菌榨汁豆浆Y1【天空系列】,1999,10万+,,自营,https://item.jd.com/100008096362.html,(2.6万+),(300+),(300+),96%
苏泊尔(SUPOR) 破壁机 易洁可拆洗系列 家用多功能豆浆机破壁料理机冰沙机搅拌机早餐辅食SP605R,396,20万+,,自营,https://item.jd.com/100025248941.html,(5.7万+),(600+),(600+),97%
小熊（Bear） 破壁机 豆浆机 榨汁机 多功能免洗破壁机家用 大容量免滤轻音降噪 料理机 辅食 PBJ-B08V3,499,1000+,,"自营,每满499-180",https://item.jd.com/10057559419145.html,(300+),-7,-7,96%
西屋（Westinghouse）静柔音破壁机家用豆浆机加热全自动榨汁机搅拌机降噪辅食 WPB09J8抹茶绿,449,2万+,,"自营,厂商配送",https://item.jd.com/100024118993.html,(7300+),(90+),(90+),97%
康佳（KONKA） 破壁机 多功能家用预约加热破壁料理机榨汁机豆浆机绞肉机辅食 1.75L大容量 | 无渣 | 智能预约,208,1000+,,"自营,每满208-9",https://item.jd.com/10062595215175.html,(200+),-5,-5,94%
美的（Midea） 安睡静轻音破壁机家用多功能智能预约自清洗豆浆机榨汁机低音降噪细腻搅打辅食轻巧杯体 【轻音降噪-分体式迷你】,699,1000+,,"自营,每满699-300",https://item.jd.com/10060505197611.html,(300+),-4,-4,98%
京品家电九阳（Joyoung）肖战推荐 破壁机家用多功能热烘除菌立体加热降噪豆浆机榨汁机辅食L18-Y916【天空系列】,599.9,100万+,,"自营,赠",https://item.jd.com/7229776.html,(39万+),(6200+),(6200+),97%
贝默朗斯（Bemeronis） 德国破壁机家用加热静全自动料理榨汁功能轻低音辅食豆浆机2022新款 白色,860,2万+,,"京东物流,满850-421",https://item.jd.com/10058361094097.html,(700+),-5,-5,99%
苏泊尔（SUPOR）破壁机 家用多功能 豆浆机 智能预约冷热双打料理机 榨汁机果汁机搅拌机辅食SP529,279,20万+,,"自营,券279-20",https://item.jd.com/100027828596.html,(5万+),(1200+),(1200+),95%
美的（Midea）破壁机家用多功能榨汁机婴儿辅食全自动料理机加热豆浆机便携免过滤榨果汁机 1L丨一键清洗丨PB40X2-166,509,5000+,,"京东物流,每满509-270",https://item.jd.com/10053066133348.html,(800+),(10+),(10+),97%
ankale 破壁机家用小型1-2人多功能迷你全自动加热免煮免过滤一人食豆浆机榨汁机辅食料理机 升级款-优雅白650ML【八叶刀片/细腻无渣】,179,1万+,,"自营,新品",https://item.jd.com/10064834537928.html,(2000+),(30+),(30+),97%
