商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
美的（Midea） 空气炸锅 5L大容量 多功能家用低油轻脂煎炸锅 精准控温低油烟电炸锅大功率烤箱KZ50M4-707L,273.98,100万+,,自营,https://item.jd.com/100020343749.html,(13万+),(1300+),(1300+),98%
苏泊尔（SUPOR）空气炸锅4.5L大容量家用多功能全自动蒸汽炸锅无油煎炸液晶触控炸鸡薯条不粘电炸锅 【苏泊尔】,599,2万+,,"京东物流,闪购,免邮,每满599-300",https://item.jd.com/10029378927895.html,(6300+),(20+),(20+),98%
苏泊尔【远红外】空气炸锅,499,50万+,,自营,https://item.jd.com/100043118317.html,(10万+),(900+),(900+),98%
苏泊尔（SUPOR）空气炸锅 家用多功能4.2L大容量 烤箱薯条机 无油烟电炸锅 大功率 无油低脂煎炸KJ42D811,209,50万+,,"自营,闪购",https://item.jd.com/100014697861.html,(8万+),(900+),(900+),97%
BRUNO日本空气炸锅可视化多功能5L大容量家用电炸锅无油烟 智能煎炸 炸鸡薯条机魔方plus【象牙白】,665,2万+,,"自营,1件9折",https://item.jd.com/100044566013.html,(3500+),(10+),(10+),99%
美的（Midea）空气炸锅 4.5L大容量家用煎炸锅 低油轻脂不粘大功率空气烤箱多功能薯条机电炸锅KZ42E101L,259,100万+,,"自营,满200-20",https://item.jd.com/100013037954.html,(13万+),(1300+),(1300+),98%
米家智能空气炸锅4L 创新4L/2L 可变容量 智能互联 多功能 低脂健康无油炸,399,20万+,,自营,https://item.jd.com/100029388001.html,(5.5万+),(300+),(300+),98%
小熊（Bear）翻面提醒 空气炸锅家用多功能 5L大容量 无油烟微电脑触控微蒸汽嫩烤 可视电炸锅QZG-F15E3,369,20万+,,自营,https://item.jd.com/100025088393.html,(9.1万+),(500+),(500+),99%
美的（Midea）3.5L 家用空气炸锅可视 多功能 蒸汽嫩烤一体 智能云操作 超嫩力 KZS3501XM,699,100万+,,"自营,闪购,券699-200",https://item.jd.com/100033821570.html,(13万+),(1300+),(1300+),98%
奥克斯（AUX）空气炸锅家用6L大容量精准定时无油烟电炸锅低脂薯条机不沾煎炸大功率烤箱薯条机,199,10万+,,自营,https://item.jd.com/100039483146.html,(2.2万+),(200+),(200+),97%
苏泊尔（SUPOR）3L远红外空气炸锅 远红外穿透加热技术 不用翻面 无涂层玻璃可视 高颜电炸锅 KD30Y831,358,50万+,,"自营,新品",https://item.jd.com/100040662372.html,(10万+),(900+),(900+),98%
苏泊尔（SUPOR）空气炸锅家用 4.2L大容量多功能烤箱薯条机无油烟电炸锅大功率 KJ42D111松木绿,269,2万+,,"京东物流,闪购,每满269-70",https://item.jd.com/10046706421263.html,(7900+),(50+),(50+),98%
摩飞电器（Morphyrichards）空气炸锅 家用8L大容量可视双炸篮多功能空气炸烤箱 炸薯条鸡翅机MR8100薄荷绿,877,2000+,,自营,https://item.jd.com/100037793525.html,(1000+),-1,-1,99%
奥克斯（AUX）空气炸锅家用5.0L大容量精准定时无油烟电炸锅低脂薯条机不沾煎炸大功率烤箱薯条机,179,10万+,,自营,https://item.jd.com/100022899101.html,(2.2万+),(200+),(200+),97%
飞利浦（PHILIPS）海星空气炸锅 家用5.6L大容量多功能全自动【透明可视+不用翻面】双层体易清洗HD9257,749,5万+,,"自营,券740-50",https://item.jd.com/100029545999.html,(1万+),(50+),(50+),98%
BRUNO日本空气炸锅家用多功能3.5L大容量小烤箱电炸锅 智能煎炸锅 无油低脂炸鸡薯条机小魔方【薄荷绿】,443,2万+,,"自营,1件9折",https://item.jd.com/100017043075.html,(3500+),(10+),(10+),99%
顽米 小米有品 可视空气炸锅4.5L大容量家用智能触屏定时多功能无油烟电炸锅不沾低脂煎炸薯条机,299,2万+,,"自营,每满299-20",https://item.jd.com/10049953660716.html,(5500+),(20+),(20+),98%
苏泊尔（SUPOR）空气炸锅 家用5L大容量 无油低脂煎炸锅 精准控温 大功率 无油烟电炸锅 烤箱薯条机KJ50D823,309,50万+,,"自营,闪购",https://item.jd.com/100021208774.html,(10万+),(900+),(900+),98%
苏泊尔（SUPOR） 远红外空气炸锅7L大容量不用翻面可视家用可拆洗无油低脂不粘空气加热智能触控款KD70YQ855,669,5000+,,自营,https://item.jd.com/10061705750512.html,(800+),-9,-9,97%
苏泊尔（SUPOR）空气炸锅 蒸汽嫩炸 家用5L大容量 无油低脂煎炸锅 精准控温调时 电炸锅KJ50D827,329,50万+,,"自营,新品,闪购",https://item.jd.com/100050932533.html,(10万+),(900+),(900+),98%
米家智能空气炸锅pro4L 可视化窗设计 无油低脂 1200W光波管 APP云食谱,378.9,20万+,,自营,https://item.jd.com/100024538751.html,(5.5万+),(300+),(300+),98%
九阳（Joyoung）肖战推荐 空气炸锅家用智能多功能 3.8L大容量 精准控时温无油低脂煎炸薯条机 KL38-VF136,222,50万+,,"自营,券189-10,1件9折",https://item.jd.com/100039032491.html,(12万+),(1400+),(1400+),97%
奥克斯（AUX） 空气炸锅4.7L家用大容量触屏智能定时多功能无油烟电炸锅大功率低脂薯条机不沾煎炸 【4.7L大容量】旋钮控时控温墨绿色,229.9,10万+,,每满229-80,https://item.jd.com/10034647020070.html,(2.1万+),(200+),(200+),97%
九阳（Joyoung） 肖战推荐 家用多功能 空气炸锅 不沾易清洗 准确定时 低脂 无油煎炸 5.5L大容量 KL55-VF509,299.9,50万+,,"自营,券299-40",https://item.jd.com/100028626053.html,(12万+),(1400+),(1400+),97%
九阳（Joyoung）【肖战同款】 太空空气炸锅 不用翻面 可视窗口 5.5L大容量 家用蓝牙多功能易清洗 VF736升级,699.9,5万+,,自营,https://item.jd.com/100033298913.html,(1.6万+),(100+),(100+),97%
利仁（Liven）空气炸锅家用可视5升大容量智能无油电炸锅蒸汽炸锅 多功能空气烤箱一体全自动薯条机KZ-D5031,299,20万+,,自营,https://item.jd.com/100044566003.html,(3.6万+),(400+),(400+),97%
苏泊尔（SUPOR）空气炸锅 家用5L大容量 可视窗口 双旋钮控时控温 蒸汽嫩炸 智能电炸锅KJ50D826,399,50万+,,"自营,闪购,券200-20",https://item.jd.com/100040001752.html,(10万+),(900+),(900+),98%
九阳（Joyoung） 肖战推荐 空气炸锅家用多功能智能 5.5L大容量可视窗口 智能触控 无油煎炸 烤箱 KL55-VF531,399.9,50万+,,"自营,券399-20",https://item.jd.com/100014210642.html,(12万+),(1400+),(1400+),97%
米家 小米空气炸锅3.5L 家用多功能无油电炸锅 低脂少油 不粘 24小时智能预约 赠烤架,279,20万+,,自营,https://item.jd.com/100019557078.html,(5.5万+),(300+),(300+),98%
京品家电苏泊尔（SUPOR）空气炸锅家用6L大容量智能电炸锅 无油低脂煎炸 液晶触控智能预约 多功能烤箱薯条机KD60D618,399,50万+,,"自营,闪购",https://item.jd.com/100016032074.html,(10万+),(900+),(900+),98%
米家智能空气炸锅4L 创新4L/2L 可变容量 智能互联 多功能 低脂健康无油炸,279,20万+,,自营,https://item.jd.com/100029388001.html,(5.5万+),(300+),(300+),98%
美的（Midea） 空气炸锅低油家用6.3升大容量新款智能触屏多功能电气炸锅薯条机 【跃动烤盘】不用翻面,509,2000+,,"自营,每满509-170",https://item.jd.com/10063683826415.html,(1300+),-8,-8,98%
美的（Midea）初见P15 家用多功能空气炸锅电烤箱一体机 高效脱脂/可视化/循环热风免翻面 15L浅杏色PT1510,398,100万+,,"自营,1件9折,赠",https://item.jd.com/100022306655.html,(46万+),(3200+),(3200+),98%
美的（Midea）家用 多功能 空气炸锅 不沾易清洗 准确定时 轻脂 低油煎炸 6.3L大容量 KZC6301,399,100万+,,"自营,每满300-30",https://item.jd.com/100041948495.html,(13万+),(1300+),(1300+),98%
山本（SHANBEN）空气炸锅6L大容量智能家用可视窗口电炸锅全自动薯条机多功能煎炸烤箱大功率低脂无油烟不沾 2202VS可视化,369,1万+,,,https://item.jd.com/10065009475218.html,(2400+),-8,-8,99%
九阳 Joyoung 肖战推荐 空气炸锅家用智能 4.5L大容量多功能 高端触控屏 无油煎炸 KL45-VF530,299.9,50万+,,"自营,券299-40",https://item.jd.com/100008348039.html,(12万+),(1400+),(1400+),97%
美的（Midea） 空气炸锅家用大容量5升新品多功能全自动烤箱不用翻面易清洗智能蒸汽电炸锅低脂薯条 全息触控丨wifi智联KZC5003XM,529,5000+,,"自营,每满519-170",https://item.jd.com/10057318408464.html,(1500+),-6,-6,99%
松下（Panasonic）多功能全景可视窗 家用全自动无油大容量 无需翻面 空气炸锅 NF-HC500-S,999,5000+,,自营,https://item.jd.com/100042227509.html,(900+),-6,-6,98%
小熊（Bear）空气炸锅 家用多功能 6.5L大容量 无油烟 双旋钮操控微蒸汽嫩烤 免翻面可视电炸锅QZG-E14G5,449,20万+,,"自营,新品,每满449-50",https://item.jd.com/100040662426.html,(9.1万+),(500+),(500+),99%
苏泊尔(SUPOR)空气炸锅全自动家用透明可视多功能不用翻面5升大容量蒸汽嫩炸电煎炸烤箱上盖可拆洗 KD50DQ852,599,2000+,,"京东物流,闪购,免邮,每满599-200",https://item.jd.com/10045490878723.html,(1000+),(10+),(10+),98%
九阳（Joyoung）肖战推荐 空气炸锅 家用智能 4.5L大容量 不沾易清洗 准确定时无油煎炸 薯条机 KL45-VF501,259.9,50万+,,"自营,券259-40",https://item.jd.com/100009064379.html,(12万+),(1400+),(1400+),97%
苏泊尔（SUPOR）空气炸锅 5L大容量电炸锅可视窗口 蒸汽嫩炸 定时无油煎炸 烤箱薯条机 KJ50DQ851,359,50万+,,"自营,闪购",https://item.jd.com/100021111074.html,(8万+),(900+),(900+),97%
小熊（Bear）空气炸锅 4.6L 家用大容量多功能多用途电炸锅 无油低脂微蒸汽炸锅 烤箱薯条机 QZG-E14H6,299,2000+,,"京东物流,每满289-100",https://item.jd.com/10061844458163.html,(1400+),-3,-3,99%
苏泊尔（SUPOR）空气炸锅 蒸汽嫩炸 家用5L大容量 无油低脂煎炸锅 精准控温调时 电炸KJ50D827,329,50万+,,自营,https://item.jd.com/100050932533.html,(10万+),(900+),(900+),98%
美菱（MeiLing） 无油空气炸锅家用大容量网红全自动多功能不沾涂层带食谱 4.5L双旋钮不沾内胆 无油炸锅,169,5万+,,"京东物流,免邮,券149-10,满149-10",https://item.jd.com/10026254658872.html,(1.1万+),(90+),(90+),98%
松下（Panasonic）多功能家用不用翻面健康低脂双屏显示 4L大容量 空气炸锅NF-HC100-W,399,2万+,,"自营,新品",https://item.jd.com/100048375729.html,(3500+),(20+),(20+),98%
苏泊尔（SUPOR） 空气炸锅家用5L大容量智能蒸汽电炸锅全自动多功能一体无油低脂煎炸不用翻面薯条机,489,500+,,"京东物流,新品,闪购,满459-160",https://item.jd.com/10065954783103.html,(100+),-1,-1,97%
利仁（Liven）空气炸锅可视家用大容量8升智能无油电炸锅蒸汽炸锅 多功能烤箱炸烤一体薯条机KZ-D8002,379,20万+,,"自营,闪购",https://item.jd.com/100012413343.html,(3.6万+),(400+),(400+),97%
九阳（Joyoung） 肖战推荐 家用多功能 空气炸锅 不沾易清洗 准确定时 低脂 无油煎炸 5.5L大容量 KL55-VF509,299.9,50万+,,自营,https://item.jd.com/100028626053.html,(12万+),(1400+),(1400+),97%
九阳（Joyoung）空气炸锅6L大容量新款家用多功能无油烟电炸锅炸薯条机烤箱 【6升夜曲蓝】,399.9,2000+,,"京东物流,闪购,免邮,每满399-130,",https://item.jd.com/10063179523490.html,(600+),-6,-6,97%
九阳（Joyoung）空气炸锅大容量全自动不用翻面6升家用电炸锅多功能无油烧烤炸鸡薯条果干蛋糕vf506 VF506,399.9,2000+,,"京东物流,免邮,每满399-40",https://item.jd.com/10063268651415.html,(500+),-3,-3,98%
山本（SHANBEN）空气炸锅 4.5L大容量家用智能触控可视窗口电炸锅全自动薯条机多功能煎炸大功率无油低脂烤箱 可视化6869TS-VS,329,2000+,,"自营,新品,每满329-40",https://item.jd.com/10066559746087.html,(600+),-1,-1,98%
山本（SHANBEN）空气炸锅 5L大容量家用智能无油烟电炸锅薯条机多功能全自动煎炸大功率低脂无油烤箱不占易清洗 6929,329,20万+,,"京东物流,每满329-100",https://item.jd.com/29174400914.html,(8.7万+),(500+),(500+),98%
【已售10万+】京东?????空气炸锅6L,199,10万+,,自营,https://item.jd.com/100039483146.html,(2.2万+),(200+),(200+),97%
九阳 Joyoung 空气炸锅 不用翻面 家用智能 6L大容量多功能 全息触控 无油低脂煎炸 KL60-VF506,399.9,50万+,,"自营,券399-40",https://item.jd.com/100044058355.html,(12万+),(1400+),(1400+),97%
九阳（Joyoung）空气炸锅家用5.5L大容量电炸锅多功能炸薯条机自动可视窗口,489.9,2万+,,"京东物流,放心购,闪购,免邮,",https://item.jd.com/70715675048.html,(1.5万+),(40+),(40+),99%
康佳（KONKA）空气炸锅 烤肉锅 家用多功能 智能预约触控玻璃内胆 可视 低脂无油空烤5L大容量 KKZG-5005E-W,229,1万+,,"自营,新品",https://item.jd.com/100042513595.html,(2000+),(20+),(20+),97%
九阳（Joyoung） 肖战推荐家用多功能 空气炸锅 不沾易清洗 准确定时 低脂 无油煎炸 5.5L大容量 KL55-VF511,359.9,50万+,,"自营,券339-20",https://item.jd.com/100018528196.html,(19万+),(1500+),(1500+),98%
【已售20万+】京东?????空气炸锅5L,179,10万+,,自营,https://item.jd.com/100022899101.html,(2.2万+),(200+),(200+),97%
美的（Midea）空气炸锅 3.8L 家用多功能炸锅 低油轻脂烘焙 不粘空气烤箱薯条机电炸锅KZ40Q4-403,232.2,10万+,,"自营,闪购,1件9折",https://item.jd.com/100010583503.html,(1.5万+),(100+),(100+),97%
法梵 空气炸锅 5.5L大容量家用煎炸锅 无油低脂不粘大功率空气烤箱多功能薯条机电炸锅 白色,948,2000+,,"京东物流,免邮,券900-260",https://item.jd.com/10061308712281.html,(1500+),-2,-2,99%
美的（Midea） 家用空气炸锅 3.8L大容量烤箱薯条机无油烟电炸锅 大功率无油低脂不沾易清洗涂层 白色MF-KZ3801,209,1000+,,"自营,每满209-30",https://item.jd.com/10061521786843.html,(100+),0,0,96%
山本（SHANBEN）空气炸锅6L大容量智能家用可视窗口电炸锅全自动薯条机多功能煎炸烤箱大功率低脂无油烟不沾 2202VS可视化,369,1万+,,"京东物流,放心购,每满369-70",https://item.jd.com/10065009475218.html,(2400+),-8,-8,99%
小熊（Bear） 空气炸锅电炸锅家用大容量4.6L多功能智能无油烟气炸锅 QZG-A15Q1 4.6升大容量+可烤整只鸡,399,10万+,,"自营,每满399-180",https://item.jd.com/70911481753.html,(2万+),(100+),(100+),98%
美的（Midea）空气炸锅 4.5L大容量家用煎炸锅 低油轻脂不粘大功率空气烤箱多功能薯条机电炸锅KZ45X5-106W,289,10万+,,"自营,闪购,每满200-30",https://item.jd.com/100032388380.html,(1.3万+),(100+),(100+),98%
松下（Panasonic）多功能可视家用全自动无油大容量空气炸锅NF-HC300-A,599,2万+,,自营,https://item.jd.com/100015347425.html,(3500+),(20+),(20+),98%
飞利浦（PHILIPS）空气炸锅 家用4L以上减少90%油脂 全自动4倍速热不用翻面 易拆卸清洗HD9200/91,649,5万+,,"自营,券600-150",https://item.jd.com/100015493484.html,(1.5万+),(80+),(80+),98%
德国Babystar空气炸锅4.5L超大容量透明可视款家用新款2022智能烤箱无油电炸锅 薄荷绿,269,1万+,,"京东物流,放心购,免邮",https://item.jd.com/10049733357148.html,(1100+),(10+),(10+),98%
美的（Midea） 空气炸锅家用 5L大容量多功能智能全自动不粘大功率空气烤箱煎炸电炸锅 MF-KZE5004【5升旋钮款】 大容量,329,1万+,,"自营,券11-10,每满320-60",https://item.jd.com/10061280708100.html,(2000+),-7,-7,99%
九阳（Joyoung）空气炸锅6L大容量家用双旋钮煎炸锅低油轻脂不粘大功率烤箱多功能薯条机电炸锅 VF508A,379.9,100+,,"自营,新品,每满379-100",https://item.jd.com/10067814550676.html,(30+),0,0,96%
九阳（Joyoung）空气炸锅大容量全自动不用翻面6升家用电炸锅多功能无油烧烤炸鸡薯条果干蛋糕vf506 VF506,399.9,2000+,,"京东物流,放心购,免邮,每满399-40",https://item.jd.com/10063268651415.html,(500+),-3,-3,98%
小熊（Bear）空气炸锅 5L大容量家用多功能电炸锅 全息智能触控屏 无油烟微蒸汽烤箱薯条机 QZG-D15Z2,489,500+,,"自营,新品,每满489-190",https://item.jd.com/10066771466910.html,(70+),0,0,100%
利仁（Liven）空气炸锅可视家用5升大容量无油电炸锅蒸汽炸锅 多功能炸烤一体烤箱薯条机KZ-J5000B,279,10万+,,"自营,闪购",https://item.jd.com/5869380.html,(3.4万+),(300+),(300+),98%
山本（SHANBEN）空气炸锅 5L大容量家用智能无油烟电炸锅薯条机多功能全自动煎炸大功率低脂无油烤箱不占易清洗 6929,329,20万+,,"京东物流,放心购,每满329-100",https://item.jd.com/29174400914.html,(8.7万+),(500+),(500+),98%
山本（SHANBEN）空气炸锅5.5L大容量智能家用可视窗口触控全自动电炸锅无油低脂多功能薯条机 8109VS,369,20万+,,"自营,券369-20",https://item.jd.com/100029387997.html,(6万+),(400+),(400+),98%
苏泊尔（SUPOR）3L远红外空气炸锅 远红外穿透加热技术 不用翻面 无涂层玻璃可视 高颜电炸 KD30Y831,358,50万+,,自营,https://item.jd.com/100040662372.html,(10万+),(900+),(900+),98%
九阳（Joyoung）【肖战同款】 太空空气炸锅 不用翻面 可视窗口 5.5L大容量 家用多功能不沾易清洗 VF736,699.9,5万+,,"自营,券699-200",https://item.jd.com/100038516278.html,(1.6万+),(100+),(100+),97%
扬子空气炸锅家用5L6L7.5L大容量无油低脂电炸锅智能触屏预约定时可视透明全自动多功能不沾烤箱机 【高性价比】 5L双旋钮温控,179,2万+,,"京东物流,放心购,免邮",https://item.jd.com/10053550370691.html,(5900+),(70+),(70+),98%
飞利浦（PHILIPS）空气炸锅 家用4L以上减少90%油脂 全自动4倍速热不用翻面 易拆卸清洗HD9200/21,649,5万+,,"自营,券600-150",https://item.jd.com/100019218484.html,(1.5万+),(80+),(80+),98%
苏泊尔（SUPOR)空气炸锅家用12L大容量无油多功能可视炸锅智能电炸锅烤箱一体机双层炸篮全自动炸锅 KD120F807,569,5000+,,"京东物流,放心购,闪购,满569-80",https://item.jd.com/10044505258943.html,(1200+),(10+),(10+),98%
美的（Midea）美的（Midea） 家用多功能可视空气炸锅电烤箱PT1510 高效脱脂 360°循环热风 烤箱 青提绿 15L,409,2000+,,"自营,券379-10,满399-20",https://item.jd.com/10054267146304.html,(800+),(10+),(10+),97%
山本（SHANBEN）空气炸锅 5L大容量家用智能无油烟电炸锅薯条机多功能全自动煎炸大功率低脂无油烤箱不占易清洗 6929,329,20万+,,放心购,https://item.jd.com/29174400914.html,(8.7万+),(500+),(500+),98%
九阳（Joyoung） 【肖战推荐】空气炸锅家用6L大容量无油嫩炸低脂煎精准控温控时电炸锅薯条机 升级6L大容量空炸【复古绿高颜值VF508A】,579.9,2万+,,"京东物流,放心购,秒杀,券299-10,",https://item.jd.com/10024684892134.html,(6600+),(10+),(10+),99%
苏泊尔(SUPOR)空气炸锅家用多功能4.5L大容量电炸锅无油煎炸免翻面易清洗5-6人适用智能触控 【苏泊尔】,389,1000+,,"京东物流,放心购,免邮,每满389-90",https://item.jd.com/10047353649042.html,(400+),-2,-2,99%
柏翠（petrus）空气炸锅 家用多功能智能定时烤箱薯条机 无油可视大容量电炸锅 大功率低脂煎炸 PE7720,379,5000+,,,https://item.jd.com/100046247925.html,(3100+),-1,-1,99%
海尔（Haier） 家用多功能 空气炸锅 3L大容量煎炸锅 无油低脂不粘大功率 智能互联 HA-M28E,189,200+,,"自营,1件9折",https://item.jd.com/100048375759.html,(50+),0,0,100%
美的（Midea）低油空气炸锅家用新款智能多功能电气炸锅大容量薯条机 分体式设计丨森墨绿（KZ30E201）,309,2万+,,"自营,每满309-130",https://item.jd.com/10021373237880.html,(3000+),(30+),(30+),97%
olayks出口原款空气炸锅烤箱一体机15升家用大容量多功能智能电炸锅无油低脂煎炸烤一键智能菜单操作陶白,368,5000+,,"自营,闪购,1件9折",https://item.jd.com/100018260071.html,(1000+),(10+),(10+),97%
苏泊尔（SUPOR）空气炸锅家用6L大容量家用多功能智能煎炸锅 无油低脂 不粘易清洗电炸锅 【苏泊尔】,599,5000+,,"京东物流,放心购,闪购,免邮,",https://item.jd.com/10031112565277.html,(1900+),(10+),(10+),98%
小熊（Bear） 空气炸锅 家用可视窗口 5升大容量 触控智能全自动定时无油薯条机烤箱可拆卸易清洗 全息大屏幕丨8大预设菜单,599,5000+,,"自营,每满599-280",https://item.jd.com/10043713055706.html,(1800+),(10+),(10+),98%
