商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
海尔(Haier) 1.5匹静悦护眠空调新一级变频省电卧室挂式挂机京东小家智能KFR-35GW/01KGC81U1以旧换新,2599,20万+,,自营,https://item.jd.com/100026673928.html,(15万+),(400+),(400+),99%
奥克斯(AUX)空调出品华蒜大1.5匹 新一级能效 变频冷暖 节能自清洁 家用出租房卧室客厅 壁挂式挂机,1898,5000+,,秒杀,https://item.jd.com/100040980191.html,(3100+),(10+),(10+),98%
美的（Midea）1.5匹 风酷 新三级能效 变频冷暖 自清洁 壁挂式 空调挂机 京东小家智能家电 KFR-35GW/N8XHC3,2499,200万+,,"自营,券999-30",https://item.jd.com/100013588055.html,(166万+),(2400+),(2400+),99%
小米（MI）1.5匹 新能效 变频冷暖 智能自清洁 壁挂式卧室空调挂机 KFR-35GW/N1A3 以旧换新,1999,20万+,,自营,https://item.jd.com/100010219881.html,(26万+),(700+),(700+),98%
长虹（CHANGHONG）大1匹新一级能效 变频冷暖京小宅 智能卧室空调挂机 京东小家智能生态 KFR-26GW/ZDHQW1+R1,1849,20万+,,"自营,每满1800-50",https://item.jd.com/100033711754.html,(21万+),(600+),(600+),99%
美的（Midea）大1匹 风酷 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 京东小家智能家电 KFR-26GW/N8XHC1,2499,200万+,,"自营,券999-30",https://item.jd.com/100025520132.html,(166万+),(2400+),(2400+),99%
【秒杀价1949元】海尔统帅1.5匹壁挂式变频空调挂机,1949,1万+,,自营,https://item.jd.com/100033834908.html,(7200+),(10+),(10+),99%
美的（Midea）大1匹 风酷 新三级能效 变频冷暖 自清洁 壁挂式 空调挂机 京东小家智能家电 KFR-26GW/N8XHC3,2299,200万+,,"自营,券999-30",https://item.jd.com/100013588057.html,(166万+),(2400+),(2400+),99%
格力（GREE）1.5匹 云佳 三级能效 变频冷暖 自清洁 壁挂式卧室空调挂机(KFR-35GW/NhGe3B 珊瑚玉色),2799,300万+,,"自营,券999-50",https://item.jd.com/100017981386.html,(108万+),(5700+),(5700+),98%
康佳（KONKA）1.5匹 新能效 快速冷暖 一键节能 以旧换新 变频壁挂式空调挂机 KFR-35GW/Y3,1699,20万+,,"自营,秒杀",https://item.jd.com/100021827444.html,(19万+),(600+),(600+),98%
美的（Midea）1.5匹 风酷 新一级能效 变频冷暖 自清洁 壁挂式空调挂机 京东小家智能家电 KFR-35GW/N8XHC1,2699,200万+,,"自营,券999-30",https://item.jd.com/100013588053.html,(166万+),(2400+),(2400+),99%
康佳（kmini） 1.5匹 新能效 快速冷暖 一键节能 壁挂式卧室 空调挂机 KFR-35GW/9M5,1599,20万+,,自营,https://item.jd.com/100013357641.html,(19万+),(600+),(600+),98%
奥克斯（AUX）3匹 京梦 新3级能效 快速冷暖 一键超远风 立柜式空调柜机(KFR-72LW/BpR3AQE1(B3))WiFi智控,5299,1万+,,自营,https://item.jd.com/100043027221.html,(8000+),(10+),(10+),99%
奥克斯(AUX)空调出品华蒜大1.5匹 新能效变频冷暖节能自清洁家用出租房壁挂式空调挂机35G/BpR3HSQK15(B3,1768,5000+,,秒杀,https://item.jd.com/100040980189.html,(3100+),(10+),(10+),98%
TCL 大1匹 新三级能效 变频冷暖 第六感 除菌智清洁壁挂式挂式空调挂机KFRd-26GW/D-XQ11Bp(B3)卧室,1729,50万+,,自营,https://item.jd.com/100014129010.html,(45万+),(1300+),(1300+),99%
长虹（CHANGHONG)1.5匹新一级变频冷暖 独立除湿空调挂机京东小家智能生态KFR-35GW/ZDTCW1+R1以旧换新,2099,20万+,,"自营,每满2000-50",https://item.jd.com/100015758004.html,(21万+),(600+),(600+),99%
小米（MI）1.5匹 新一级能效 变频冷暖 智能自清洁 壁挂式卧室空调挂机 KFR-35GW/N1A1,2249,20万+,,"自营,满1000-100",https://item.jd.com/100039042553.html,(26万+),(700+),(700+),98%
小米（MI）大1匹 新一级能效 变频冷暖 智能自清洁 壁挂式卧室空调挂机 KFR-26GW/V1A1 以旧换新,2099,20万+,,"自营,满1000-100",https://item.jd.com/100026930165.html,(18万+),(500+),(500+),98%
科龙（KELON）空调 新三级能效 2匹大风量 变频冷暖 挂机体积柜机风量 再省1m2 客厅两匹挂机 KFR-50GW/QX1-X3,3199,20万+,,自营,https://item.jd.com/100038704464.html,(16万+),(400+),(400+),99%
格力（GREE）1.5匹 云佳 新一级能效 变频冷暖 自清洁 壁挂式空调挂机KFR-35GW/NhGc1B,2999,300万+,,自营,https://item.jd.com/100019386660.html,(108万+),(5700+),(5700+),98%
华凌空调 新一级能效 变频冷暖 大风口1.5匹客厅卧室挂式空调挂机智能遥控 京东小家 KFR-35GW/N8HL1,2129,20万+,,"自营,每满2129-30",https://item.jd.com/100016943563.html,(19万+),(300+),(300+),99%
奥克斯（AUX）空调 1.5匹 新能效三级 空调挂机 变频节能家用冷暖 独立除湿(KFR-35GW/BpR3AQE1(B3))挂壁式,2329,20万+,,"自营,券5000-200,每满2300-230",https://item.jd.com/100020059646.html,(26万+),(300+),(300+),99%
海尔空调出品 挂机1.5匹 变频新一级统帅独立除湿壁挂式卧室冷暖两用内外机自清洁静音家用节能 【1.5匹变频新一级】【独立除湿自清洁】-22年款,2399,5000+,,免邮,https://item.jd.com/10028852589654.html,(2500+),(10+),(10+),98%
小米（MI）小米空调1.5匹 新能效 变频冷暖 智能自清洁 壁挂式卧室空调挂机 KFR-35GW/N1A3 小米互联网（1.5匹/变频/三级能效）,1858,83,,,https://item.jd.com/10066384216832.html,(10+),0,0,100%
海尔出品统 帅5匹家电空调柜机 中央空调立柜式 快速冷暖智能除湿5P商用空调【可开增值税专票】 5匹柜机,7799,500+,,,https://item.jd.com/26509893547.html,(400+),0,0,99%
海尔（Haier）海尔空调挂机大1P匹 1.5P匹家用卧室壁挂式节能家电房间高效制冷 新【单冷】大1P匹KF-26G/MCA75,1899,5万+,,"京东物流,放心购,免邮,每满1889-30",https://item.jd.com/25930506802.html,(3.1万+),(100+),(100+),98%
科龙（KELON）空调 大1匹 新三级能效 急速冷暖 变频节能 壁挂式挂机 京东小家 青春派 KFR-26GW/QTA3(1Q21),1699,20万+,,自营,https://item.jd.com/100018042852.html,(16万+),(400+),(400+),99%
TCL 大1匹 新一级能效变频冷暖智能以旧换新壁挂式空调挂机KFRd-26GW/D-STA11Bp(B1)京东小家智能生态,2099,50万+,,"自营,每满2090-100",https://item.jd.com/100018413778.html,(45万+),(1300+),(1300+),99%
云米（VIOMI）1.5匹 京东小家智能生态 变频冷暖Smart 2E 新三级 以旧换新 智能挂机 KFRd-35GW/Y3PQ4-A3,1699,5万+,,"自营,秒杀",https://item.jd.com/100039042557.html,(3.5万+),(200+),(200+),96%
奥克斯(AUX)空调出品华蒜大1.5匹 新一级能效 变频冷暖 节能自清洁 家用出租房卧室客厅 壁挂式挂机,1899,5000+,,,https://item.jd.com/100044552961.html,(3100+),(10+),(10+),98%
华蒜奥克斯(AUX)空调大1.5匹新能效变频冷暖 节能自清洁壁挂式空调挂机家用出租房35GW/BpR3HSQK15(B3),1788,2000+,,"自营,厂商配送",https://item.jd.com/100028603893.html,(800+),-5,-5,98%
格力（GREE）大1匹 云佳 三级能效 变频冷暖 自清洁 壁挂式卧室空调挂机(KFR-26GW/NhGc3B 珊瑚玉色),2599,300万+,,"自营,券999-50",https://item.jd.com/100015491508.html,(108万+),(5700+),(5700+),98%
奥克斯（AUX）空调挂机1/1.5p匹 新能效升级变频冷暖 自动清洁 家用卧室壁挂式挂机以旧换新 大1.5匹变频冷暖:15-23㎡,2099,2000+,,放心购,https://item.jd.com/10025870887456.html,(2000+),-5,-5,99%
华凌空调 新一级能效 变频冷暖 超大风口 1.5匹 客厅卧室空调挂机 以旧换新 京东小家 KFR-35GW/N8HE1,2299,20万+,,"自营,秒杀,每满2329-30",https://item.jd.com/100007344273.html,(22万+),(400+),(400+),99%
格力空调 云佳大1匹/1.5匹 新一级能效 变频冷暖 自清洁 壁挂式空调挂机卧室 云佳【1.5匹】一级KFR-35GW/NhGc1B,2999,100+,,"京东物流,放心购,免邮,券999-30",https://item.jd.com/10066941218480.html,(30+),0,0,100%
申花（SHENHUA）空调挂机家用壁挂式卧室立柜大风量节能省电新国标能效强劲制冷 正1匹单冷-12㎡内 JD上门安装,1248,10万+,,"秒杀,免邮",https://item.jd.com/25864924182.html,(6.4万+),(900+),(900+),93%
山水（SANSUI）空调挂机大1匹1.5匹2匹冷暖定频家用壁挂式新风空调 低音省电 新国标 大1.5P冷暖【山水系列】 【上门安装】,1739,2万+,,"放心购,免邮,券1100-10,满999-10,",https://item.jd.com/10052896897720.html,(8700+),(90+),(90+),95%
美的空调挂机 酷金 新一级能效 全直流变频 冷暖两用 四代自清洁 家用卧室省电壁挂式 大1匹 适合11~17m2,2499,10万+,,自营,https://item.jd.com/10043368963745.html,(8.2万+),(100+),(100+),99%
海信（Hisense）1.5匹 自然风 新一级能效变频冷暖APP智控壁挂式空调挂机 京东小家智能生态 KFR-33GW/EF20A1,2199,10万+,,自营,https://item.jd.com/5129535.html,(10万+),(200+),(200+),99%
华凌空调挂机 1.5匹新能效变频冷暖 智能家用 出租屋卧室壁挂式 以旧换新 【性价比推荐】1匹变频冷暖 防直吹 26HA3,2089,2000+,,"放心购,秒杀,免邮,券5000-100",https://item.jd.com/10052551030349.html,(1000+),-2,-2,99%
【新国标】格力 空调 云佳 变频冷暖 正1.5匹 三级能效 挂机 易拆洗 节能省电 净菌自洁,2799,1万+,,券2000-50,https://item.jd.com/10031702813177.html,(2200+),(30+),(30+),93%
小米（MI）大1匹 新能效 变频冷暖 智能自清洁 壁挂式卧室空调挂机 KFR-26GW/N1A3,1999,20万+,,"自营,满1000-100",https://item.jd.com/100049834951.html,(26万+),(700+),(700+),98%
海尔空调出品大1\/1.5匹一级能效智能变频低噪冷暖两用挂机壁挂式家用自清洁统帅 以旧换新 捡漏款1匹快速冷暖智能物联,2099,2万+,,"秒杀,免邮,券999-30,赠",https://item.jd.com/10035924447883.html,(5500+),(30+),(30+),98%
海尔空调统帅出品大1匹/1.5匹新一级能效变频节能智能家用空调挂机 急速冷暖壁挂式健康自清洁京品 【店长推荐】大1.5匹挂机+新一级能效+自清洁,2399,200+,,,https://item.jd.com/10056313120099.html,(50+),0,0,98%
奥克斯（AUX） 空调 1.5匹 新一级能效 空调挂机 变频冷暖 卧室京东挂式独立除湿KFR-35GW/BpR3AQE1(B1)家用省电,2529,20万+,,"自营,券5000-200,每满2500-230",https://item.jd.com/100020059664.html,(26万+),(300+),(300+),99%
小米（MI）米家大1匹 新能效 单冷空调（仅制冷）清凉版 独立除湿 壁挂式卧室挂机 KF-26GW/C1A5,1599,5万+,,"自营,满1000-100",https://item.jd.com/100035363004.html,(3.4万+),(100+),(100+),97%
TCL 1.5匹新一级变频省电以旧换新壁挂式挂式冷暖空调挂机KFRd-35GW/D-STA11Bp(B1) 京东小家智能生态,2199,50万+,,自营,https://item.jd.com/100010350689.html,(45万+),(1300+),(1300+),99%
云米 （VIOMI）京东小家智能生态 大1匹 iCool 2S 爱酷 新一级变频冷暖 挂机KFRd-26GW/Y4PP2-A1,1899,5万+,,自营,https://item.jd.com/100038572574.html,(3.5万+),(200+),(200+),96%
爱心东东美的出品空调挂机 新能效一级1.5匹 变频冷暖壁挂式空调 智能控制防直吹家用新风挂机 大1匹新三级变频冷暖(HF3/HA3随机发),1899,200+,,赠,https://item.jd.com/10064683834823.html,(100+),-1,-1,96%
科龙空调 大1匹 新一级能效 变频节能 快速冷暖 智能wifi 柔风低噪 壁挂式 卧室挂机 以旧换新 KFR-26GW/QQA1(1N41) 青春派Pro,2099,2000+,,自营,https://item.jd.com/10034844095123.html,(1800+),(10+),(10+),98%
海尔出品空调统帅空调挂机1.5匹壁挂式变频一级冷暖智能自清洁家用 1.5匹新一级能效KFR-35G/XCA81TU1,2389,2000+,,"秒杀,免邮,券1999-30,每满2350-100",https://item.jd.com/10046125858726.html,(1300+),(10+),(10+),98%
奥克斯(AUX)旗下 华蒜大1.5匹 新一级变频冷暖家用壁挂式节能空调挂机 独立除湿 节能ECO 自清洁,1899,5000+,,自营,https://item.jd.com/100028603911.html,(3100+),(10+),(10+),98%
申花（SHENHUA）空调挂机家用壁挂式卧室立柜大风量节能省电新国标能效强劲制冷 正1匹单冷-12㎡内 无安装服务,1099,10万+,,免邮,https://item.jd.com/25864924186.html,(6.4万+),(900+),(900+),93%
科龙（KELON）空调 1.5匹 新一级能效 舒适柔风 变频冷暖 自清洁 壁挂式挂机 青春派Pro KFR-35GW/QAA1(1P69),2199,20万+,,"自营,券1000-100",https://item.jd.com/100001170660.html,(16万+),(400+),(400+),99%
TCL 大1匹 国标新能效 单冷空调 第六感＋强力除湿 壁挂式空调 挂式空调挂机KF-26GW/XQ11(5)卧室,1649,50万+,,自营,https://item.jd.com/100008168465.html,(45万+),(1300+),(1300+),99%
长虹（CHANGHONG) 大3匹熊猫懒新能效空调柜机变频冷暖空调立式京东小家智能生态 KFR-72LW/ZDTTW1+R3,3899,10万+,,自营,https://item.jd.com/100015826774.html,(7.5万+),(90+),(90+),99%
奥克斯(AUX)旗下 华蒜大1.5匹 新一级变频冷暖家用壁挂式节能空调挂机 独立除湿 节能ECO 自清洁,1899,5000+,,,https://item.jd.com/100028603911.html,(3100+),(10+),(10+),98%
奥克斯（AUX）大1匹 新3级能效 易拆银离子滤网 变频冷暖 京裕Ⅱ空调挂机(KFR-26GW/BpR3AQE1(B3)) 独立除湿,2199,10万+,,"自营,券5000-200,每满2000-200",https://item.jd.com/100020059662.html,(6.7万+),(60+),(60+),99%
科龙（KELON）新风增氧空调 1.5匹 新一级能效 16分贝轻音 变频冷暖 壁挂式挂机 京东小家 KFR-35GW/LD1-X1,2199,20万+,,自营,https://item.jd.com/100038681144.html,(16万+),(400+),(400+),99%
美的（Midea）空调挂机大1匹 新一级能效 变频冷暖卧室家用壁挂 大风口空调挂机 智能家电 防直吹自清洁 极酷,2498,1万+,,"自营,闪购",https://item.jd.com/100015130574.html,(9100+),(20+),(20+),99%
奥克斯（AUX）空调 1.5匹 新能效三级 空调挂机 变频节能家用冷暖 独立除湿(KFR-35GW/BpR3AQE1(B3))挂壁式,2329,20万+,,自营,https://item.jd.com/100020059646.html,(26万+),(300+),(300+),99%
山水（SANSUI）空调挂机大1匹1.5匹2匹冷暖定频家用壁挂式新风空调 低音省电 新国标 大1P单冷【山水系列】 【上门安装】,1379,2万+,,"放心购,免邮,券1100-10,满999-10,",https://item.jd.com/10052896897714.html,(8700+),(90+),(90+),95%
华蒜奥克斯(AUX)空调大1.5匹新能效变频冷暖 节能自清洁壁挂式空调挂机家用出租房35GW/BpR3HSQK15(B3),1788,2000+,,,https://item.jd.com/100028603893.html,(800+),-5,-5,98%
小米（MI） 米家1.5匹 睡眠款 新一级能效 变频冷暖 智能自清洁 壁挂式空调挂机 KFR-35GW/S1A1 以旧换新,2099,20万+,,自营,https://item.jd.com/100021755350.html,(18万+),(500+),(500+),98%
山水（SANSUI）空调挂机大1匹1.5匹2匹冷暖定频家用壁挂式新风空调 低音省电 新国标 1P单冷【山水系列】 【送货上门】【自行安装】,1149,2万+,,"放心购,免邮,券1100-10,满999-10,",https://item.jd.com/10052896896903.html,(8700+),(90+),(90+),95%
