商品标题,商品价格,评论量,店铺名字,标签,商品详情页,好评数量,中评数量,差评数量,分数
湿美（MSSHIMEI） 工业除湿机 适用:80~200㎡车间仓库地下室除潮抽湿器 138L水箱款 【适合200平内使用】,2349,2万+,,,https://item.jd.com/10057583361993.html,(2.3万+),0,0,100%
美的（Midea）家用除湿机 干衣/抽湿机 除湿量12升/天家用除湿器干衣轻音适用/地下室抽湿CF12BD/N7-DN,666,5万+,,"自营,品质认证,1件9折",https://item.jd.com/100005994202.html,(1.5万+),(200+),(200+),97%
美的（Midea）家用除湿机 干衣/抽湿机 除湿量18升/天 大平层/地下室吸湿 轻音智能CF18BD/N7-DF3,1110,2万+,,"自营,品质认证,1件9折",https://item.jd.com/100005994204.html,(6700+),(40+),(40+),98%
米家 小米除湿机 家用抽湿机 大除湿量 每日可达22L 五重降噪 卧室轻音 除潮空气 干衣机 智能互联,1198,2万+,,"自营,秒杀",https://item.jd.com/100016334291.html,(4800+),(50+),(50+),97%
德业（Deye）除湿机/抽湿机 除湿量22升/天 家用轻音地下室干衣除湿器干燥机DYD-T22A3,1488,10万+,,"自营,券1488-200",https://item.jd.com/5776918.html,(4万+),(100+),(100+),99%
志高（CHIGO） 除湿机 家用抽湿机除湿器 卧室地下室干燥机 吸湿去湿除潮防潮小型抽湿神器 【湿度设定+LED触屏+香薰】遥控旗舰款,269,1万+,,"京东物流,免邮,每满259-30",https://item.jd.com/10049216439709.html,(2200+),(20+),(20+),97%
湿腾 ST-8156C 除湿机工业除湿量156升/天 240平地下室车间仓库除湿大功率商用抽湿器,2980,500+,,,https://item.jd.com/28549185022.html,(100+),0,0,99%
奥克斯（AUX）奥克斯（AUX） 除湿机家用卧室去湿器吸湿干燥除潮防潮小型抽湿神器地下室KDY-DZ04 白色,329,2万+,,"自营,每满300-90",https://item.jd.com/10043207071189.html,(5100+),(100+),(100+),95%
德业（Deye）除湿机/抽湿机 除湿量12升/天 家用轻音吸湿器地下室干燥机干衣净化 wifi手机控制DYD-E12A3,632,20万+,,"自营,1件9折",https://item.jd.com/1133620.html,(11万+),(700+),(700+),98%
OIDIRE 德国OIDIRE 除湿机家用抽湿机抽湿去湿器吸湿除潮防潮小型抽湿神器地下室卧室居家公寓宿舍办公室 除湿机 ODI-CSJ01 玛鲁白,349,1万+,,"券1500-120,满299-110,赠",https://item.jd.com/10045652410030.html,(1100+),(10+),(10+),98%
百奥（PARKOO）除湿机/抽湿机 22升大除湿量 家用轻音抽湿机 一键干衣 负离子净化地下室别墅吸湿 YDA-826E,998,5万+,,"自营,品质认证,1件9折",https://item.jd.com/1282272.html,(3.4万+),(100+),(100+),99%
海尔（Haier）除湿机/抽湿机 除湿量12升/天 家用轻音抽湿器卧室干燥机地下室 CF12-PS1,665,2000+,,"自营,1件9折",https://item.jd.com/100038138864.html,(600+),(10+),(10+),97%
新典 工业除湿机/抽湿机 适用面积158-300平方 车间/仓库/地下室专用 大功率吸湿器 XD-158,2898,500+,,,https://item.jd.com/27033127444.html,(300+),-4,-4,98%
德业（Deye）除湿机/抽湿机 京东小家智能生态 除湿量20升/天 家用轻音干燥地下室吸湿app智控 DYD-W20A3,1110,5万+,,"自营,1件9折",https://item.jd.com/100002541153.html,(1.5万+),(100+),(100+),98%
美的（Midea）家用除湿机 京东小家Wifi智能生态 小海绵抽湿机/除湿量30升/天大面积工业吸湿CF30BD/N7-DP5,1777,2000+,,"自营,1件9折",https://item.jd.com/100023529953.html,(600+),(10+),(10+),97%
百奥（PARKOO）除湿机/抽湿机/干衣 60升除湿量 家用地下室别墅商用吸湿 PD602AR,1888,1万+,,"自营,1件9折",https://item.jd.com/2789857.html,(1.2万+),(20+),(20+),99%
志高（CHIGO） 除湿机/抽湿机/除湿器 20升/天 家用轻音净化 卧室地下室工业干燥机干衣机 20L-旗舰款【负离子净化+强力】,999,2万+,,"京东物流,免邮,每满979-100",https://item.jd.com/10053058455861.html,(2100+),(20+),(20+),97%
海尔（Haier）海尔（Haier） 除湿机/抽湿机 除湿量22升/天 家用轻音 净化吸湿器地下室档案室干燥机 干衣机 DE22J,1199,2000+,,"京东物流,秒杀,免邮,券2000-50,",https://item.jd.com/10049410197889.html,(1100+),-2,-2,99%
新典 工业除湿机 家用地下室大功率抽湿机 80-160大面积别墅/仓库/车间/商用抽湿器 XD-90,2299,200+,,,https://item.jd.com/1683759451.html,(100+),-1,-1,99%
京东京造 除湿机/抽湿机 除湿量12升/天 家用卧室抽湿地下室干衣除湿器,549,5000+,,"自营,闪购",https://item.jd.com/100023968472.html,(1000+),(10+),(10+),97%
