,item,price,comments,icon,good,mid,bad
16,TCL,929,2000000,自营,1180000,7500,7500
17,TCL,879,2000000,"自营,满859-30",1180000,7500,7500
18,TCL,1349,2000000,"自营,厂商配送,满1000-300,赠",1180000,7500,7500
19,TCL,1349,2000000,"自营,厂商配送",1180000,7500,7500
27,TCL,729,2000000,"自营,满720-30",1180000,7500,7500
304,小天鹅,329,19,赠,1180000,7500,7500
432,小天鹅,1599,2000000,"自营,券500-20,满1500-400,赠",920000,3900,3900
433,小天鹅,1299,2000000,"自营,新品,券500-30,赠",920000,3900,3900
434,小天鹅,1549,2000000,"自营,券599-20,满1400-400,赠",920000,3900,3900
438,小天鹅,849,2000000,"自营,券500-10",920000,3900,3900
439,小天鹅,2199,2000000,"自营,券500-20,每满1000-100,赠",920000,3900,3900
440,小天鹅,1549,2000000,"自营,券500-20,满1500-200,赠",920000,3900,3900
20,TCL,569,1000000,"自营,厂商配送",770000,4300,4300
28,TCL,819,2000000,"自营,满500-50,赠",770000,4300,4300
103,海尔,849,1000000,"自营,每满800-10",710000,2300,2300
112,海尔,2699,1000000,"自营,每满1000-100,赠",710000,2300,2300
114,海尔,1299,1000000,"自营,每满1250-150,赠",710000,2300,2300
115,海尔,1549,1000000,"自营,券499-30,赠",710000,2300,2300
117,海尔,3099,1000000,"自营,满1000-200,赠",710000,2300,2300
119,海尔,3599,1000000,"自营,满2000-400,赠",710000,2300,2300
21,TCL,597,500000,自营,560000,4300,4300
208,美的,669,500000,自营,450000,2100,2100
209,美的,699,500000,自营,450000,2100,2100
241,美的,849,500000,自营,450000,2100,2100
84,海尔,2299,500000,"自营,券499-30,满2099-300,赠",420000,1000,1000
122,海尔,1999,500000,"自营,赠",420000,1000,1000
125,海尔,3199,500000,"自营,满2000-300,赠",420000,1000,1000
126,海尔,1999,500000,"自营,券499-30,满1799-200,赠",420000,1000,1000
127,海尔,1999,500000,自营,420000,1000,1000
132,海尔,3399,500000,"自营,满2000-300,赠",420000,1000,1000
133,海尔,4099,500000,"自营,满2000-400,赠",420000,1000,1000
136,海尔,4299,500000,"自营,券2000-110,满2000-300,赠",420000,1000,1000
139,海尔,6299,500000,自营,420000,1000,1000
113,海尔,1519,500000,"自营,券499-30,每满1450-370,赠",360000,1500,1500
116,海尔,2699,500000,"自营,满1000-200,赠",360000,1500,1500
118,海尔,1549,500000,"自营,券499-30,每满1000-300,赠",360000,1500,1500
442,小天鹅,2199,500000,"自营,券599-20,每满1000-100,赠",330000,900,900
443,小天鹅,2199,500000,自营,330000,900,900
458,小天鹅,2669,500000,"自营,秒杀,券599-20,满2000-400,",330000,900,900
459,小天鹅,2669,500000,自营,330000,900,900
25,TCL,699,500000,"自营,满680-30",310000,1300,1300
281,夏新,548,5000,京东物流,310000,1300,1300
426,小天鹅,798,200000,自营,310000,1000,1000
212,美的,819,500000,"自营,券500-20",270000,1700,1700
213,美的,819,500000,自营,270000,1700,1700
214,美的,1549,500000,"自营,券500-20,满1400-500,赠",270000,1700,1700
215,美的,1599,500000,"自营,券500-20,满1500-300,赠",270000,1700,1700
218,美的,1599,500000,"自营,券500-20,满1500-200,赠",270000,1700,1700
372,海尔,749,500000,自营,250000,900,900
418,小天鹅,7099,200000,"自营,券500-20,满5000-400",200000,400,400
452,小天鹅,4399,200000,"自营,券500-20,每满1000-100,赠",200000,400,400
453,小天鹅,3499,200000,"自营,券500-20,每满1000-100,赠",200000,400,400
454,小天鹅,3999,200000,"自营,券500-20,每满1000-100,赠",200000,400,400
455,小天鹅,3799,200000,"自营,券500-20,每满1000-100,赠",200000,400,400
456,小天鹅,4299,200000,"自营,券500-20,每满1000-100,赠",200000,400,400
120,海尔,5199,200000,"自营,券2000-110,满2000-300,赠",190000,300,300
128,海尔,2499,200000,自营,190000,300,300
129,海尔,2469,200000,"自营,券499-30,满2369-200,赠",190000,300,300
130,海尔,2359,200000,"自营,赠",190000,300,300
134,海尔,4499,200000,"自营,满2000-400,赠",190000,300,300
137,海尔,5099,200000,"自营,券2000-110,满2000-300,赠",190000,300,300
146,海尔,10499,200000,"自营,满5000-500",190000,300,300
184,康佳,699,500000,自营,190000,1500,1500
186,康佳,629,500000,"自营,每满629-30",190000,1500,1500
191,康佳,799,500000,自营,190000,1500,1500
266,小天鹅,458,5000,无,190000,300,300
230,美的,2099,500000,"自营,券500-20,每满1000-100",180000,900,900
231,美的,1769,500000,"自营,秒杀,券500-20,每满1000-100,",180000,900,900
232,美的,1769,500000,自营,180000,900,900
233,美的,2499,500000,自营,180000,900,900
234,美的,2499,500000,"自营,券500-20,每满1000-100,赠",180000,900,900
237,美的,4199,500000,"自营,券500-20,每满1000-100,赠",180000,900,900
22,TCL,629,200000,"自营,赠",170000,1100,1100
379,威力,799,200000,自营,160000,1200,1200
380,威力,599,200000,自营,160000,1200,1200
381,威力,649,200000,自营,160000,1200,1200
382,威力,679,200000,自营,160000,1200,1200
383,威力,699,200000,自营,160000,1200,1200
384,威力,819,200000,"自营,厂商配送",160000,1200,1200
385,威力,1199,200000,"自营,券6000-600",160000,1200,1200
188,康佳,499,200000,自营,150000,1300,1300
292,志高,518,1000,"京东物流,免邮",140000,2000,2000
298,洗衣机,699,200,无,140000,2000,2000
528,志高,438,500000,"京东物流,免邮,券100-10",140000,2000,2000
