,item,price,comments,icon,good,mid,bad
143,海尔,999,1000000,"自营,满500-100",850000,4800,4800
28,美的,629,1000000,自营,800000,6200,6200
43,美的,679,1000000,自营,800000,6200,6200
31,美的,859,1000000,"自营,新品,每满800-50",600000,2400,2400
40,美的,809,1000000,"自营,新品,每满800-50",600000,2400,2400
70,万和,449,500000,自营,600000,3700,3700
5,海尔,1149,1000000,"自营,每满1000-100",560000,1900,1900
7,海尔,1599,1000000,"自营,满1000-200,赠",560000,1900,1900
27,海尔,849,1000000,"自营,满500-100",560000,1900,1900
64,海尔,849,1000000,自营,560000,1900,1900
75,海尔,999,1000000,"自营,满800-200,赠",560000,1900,1900
76,海尔,1699,1000000,"自营,每满1000-100,赠",560000,1900,1900
146,海尔,1699,1000000,自营,560000,1900,1900
174,海尔,1399,1000000,"自营,满1000-200,赠",560000,1900,1900
244,海尔,1349,1000000,"自营,满800-200,赠",560000,1900,1900
290,海尔,949,1000000,"自营,满500-100",560000,1900,1900
536,海尔,1499,1000000,"自营,每满1000-100,赠",560000,1900,1900
17,美的,1148,1000000,"自营,满500-100,赠",460000,1700,1700
25,美的,848,500000,"自营,满500-100,赠",460000,2500,2500
67,美的,948,1000000,"自营,满500-100,赠",460000,1700,1700
292,美的,1799,500000,"自营,满1000-200,赠",460000,1700,1700
294,美的,3499,500000,"自营,每满3000-400,赠",460000,1700,1700
346,美的,1599,1000000,"自营,满1000-200,赠",460000,1700,1700
415,美的,2599,1000000,"自营,每满2000-300,赠",460000,1700,1700
424,美的,2399,1000000,自营,460000,1700,1700
573,美的,2799,1000000,"自营,每满2000-300,赠",460000,1700,1700
0,美的,1699,500000,自营,430000,1400,1400
2,美的,999,500000,"自营,每满800-50,赠",430000,1400,1400
32,美的,949,500000,"自营,每满800-50,赠",430000,1400,1400
104,万家乐,1599,500000,自营,330000,1500,1500
3,美的,1529,500000,"自营,满1000-200,赠",320000,2500,2500
190,美的,1349,500000,"自营,满1000-200,赠",320000,2500,2500
242,美的,2399,500000,"自营,每满2000-300,赠",320000,2500,2500
243,美的,2899,500000,"自营,每满2000-300,赠",320000,2500,2500
21,万家乐,1098,500000,"自营,秒杀,满1149-50,赠",290000,1500,1500
23,万家乐,1999,500000,"自营,满1999-50",290000,1500,1500
44,万家乐,1549,500000,"自营,满1549-50,赠",290000,1500,1500
94,万家乐,1449,500000,"自营,满1449-50,赠",290000,1500,1500
358,万家乐,1199,500000,自营,290000,1500,1500
29,万家乐,749,500000,自营,270000,1400,1400
97,万家乐,749,500000,自营,270000,1400,1400
234,万家乐,1899,500000,"自营,满1899-50",240000,1400,1400
270,万和,1599,200000,自营,230000,900,900
323,万和,769,200000,自营,230000,900,900
614,万和,1549,200000,自营,230000,900,900
45,美的,2399,200000,"自营,每满2000-200,赠",220000,1100,1100
114,美的,1849,200000,"自营,满1000-300,赠",220000,1100,1100
291,美的,1649,200000,"自营,满1000-300,赠",220000,1100,1100
352,美的,999,200000,"自营,满800-100",220000,1100,1100
388,美的,3099,200000,"自营,新品,每满2000-200,赠",220000,1100,1100
412,美的,1849,200000,自营,220000,1100,1100
633,美的,3499,200000,"自营,每满2000-200,赠",220000,1100,1100
36,万和,749,200000,自营,200000,800,800
131,万和,1299,200000,自营,200000,800,800
254,万和,769,200000,"自营,厂商配送",200000,800,800
320,万和,1499,200000,"自营,厂商配送",200000,800,800
340,万和,1499,200000,"自营,厂商配送",200000,800,800
42,万和,1549,200000,"自营,满1100-500",190000,700,700
249,万和,2299,200000,"自营,每满1000-100",190000,700,700
203,能率,3898,200000,"自营,满1000-200,赠",180000,900,900
257,能率,3298,200000,"自营,满1000-200,赠",180000,900,900
315,能率,3298,200000,自营,180000,900,900
565,能率,2398,200000,"自营,厂商配送",180000,900,900
530,万和,1799,100000,"自营,厂商配送",170000,800,800
645,万和,1799,100000,"自营,厂商配送",170000,800,800
140,林内,3298,200000,自营,150000,400,400
212,林内,4599,200000,"自营,券2000-200",150000,400,400
213,林内,3298,200000,"自营,券1000-100",150000,400,400
