,item,price,comments,icon,good,mid,bad
1,小米,2899,1000000,自营,610000,2200,2200
14,小米,2999,1000000,自营,610000,2200,2200
20,小米,2699,1000000,"自营,赠",610000,2200,2200
28,小米,2799,1000000,自营,610000,2200,2200
41,小米,1399,1000000,自营,610000,2200,2200
52,小米,1869,1000000,"自营,秒杀",610000,2200,2200
53,小米,1349,1000000,自营,610000,2200,2200
58,小米,1799,1000000,自营,610000,2200,2200
60,小米,2299,1000000,自营,610000,2200,2200
63,小米,2169,1000000,"自营,秒杀",610000,2200,2200
124,小米,3999,1000000,自营,610000,2200,2200
245,小米,4299,1000000,自营,610000,2200,2200
2,海信,1349,1000000,自营,480000,2500,2500
4,海信,1249,1000000,自营,480000,2500,2500
13,海信,1899,1000000,自营,480000,2500,2500
17,海信,2599,1000000,"自营,每满2400-700",480000,2500,2500
25,海信,1399,1000000,自营,480000,2500,2500
29,海信,2999,1000000,自营,480000,2500,2500
35,海信,569,1000000,"自营,秒杀",480000,2500,2500
37,海信,799,1000000,自营,480000,2500,2500
92,海信,2599,1000000,"自营,每满2000-100",480000,2500,2500
118,海信,2999,1000000,"自营,每满2500-300",480000,2500,2500
131,海信,5299,1000000,自营,480000,2500,2500
182,海信,3999,1000000,自营,480000,2500,2500
209,海信,2599,1000000,自营,480000,2500,2500
649,海信,3999,1000000,"自营,每满3500-300",480000,2500,2500
38,小米,799,1000000,自营,460000,2700,2700
40,小米,749,1000000,自营,460000,2700,2700
50,小米,549,1000000,自营,460000,2700,2700
57,小米,599,1000000,自营,460000,2700,2700
62,小米,1299,1000000,自营,460000,2700,2700
65,小米,1399,1000000,自营,460000,2700,2700
127,海信,639,500000,自营,350000,600,600
138,康佳,549,200000,"自营,闪购",350000,4600,4600
0,MI,3599,500000,自营,250000,1300,1300
5,海信,2599,500000,"自营,满2000-700",250000,600,600
7,海信,2599,500000,"自营,满2000-800",250000,600,600
8,华为,3599,500000,自营,250000,1300,1300
10,MI,4999,500000,自营,250000,1300,1300
12,华为,2299,500000,自营,250000,1300,1300
15,海信,5999,500000,"自营,满5000-900",250000,600,600
18,华为,8499,500000,自营,250000,1300,1300
22,华为,2599,500000,自营,250000,1300,1300
