,item,price,comments,icon,good,mid,bad
32,美的,398,1000000,"自营,1件9折,赠",460000,3200,3200
92,美的,398,1000000,自营,460000,3200,3200
135,九阳,259,500000,"自营,券249-30",200000,1500,1500
225,九阳,259,500000,自营,200000,1500,1500
57,九阳,359,500000,"自营,券339-20",190000,1500,1500
105,九阳,499,500000,"自营,新品,券439-40",190000,1500,1500
309,九阳,599,500000,"自营,券369-30,1件9折",190000,1500,1500
0,美的,273,1000000,自营,130000,1300,1300
5,美的,259,1000000,"自营,满200-20",130000,1300,1300
8,美的,699,1000000,"自营,闪购,券699-200",130000,1300,1300
33,美的,399,1000000,"自营,每满300-30",130000,1300,1300
121,美的,310,1000000,"自营,每满200-30",130000,1300,1300
186,长帝,298,200000,"自营,1件9折",130000,900,900
299,格兰仕,699,500000,"自营,赠",130000,1200,1200
21,九阳,222,500000,"自营,券189-10,1件9折",120000,1400,1400
23,九阳,299,500000,"自营,券299-40",120000,1400,1400
27,九阳,399,500000,"自营,券399-20",120000,1400,1400
35,九阳,299,500000,"自营,券299-40",120000,1400,1400
40,九阳,259,500000,"自营,券259-40",120000,1400,1400
48,九阳,299,500000,自营,120000,1400,1400
54,九阳,399,500000,"自营,券399-40",120000,1400,1400
122,九阳,299,500000,自营,120000,1400,1400
132,九阳,366,500000,"自营,券329-30,1件9折",120000,1400,1400
201,九阳,259,500000,自营,120000,1400,1400
2,苏泊尔,499,500000,自营,100000,900,900
10,苏泊尔,358,500000,"自营,新品",100000,900,900
17,苏泊尔,309,500000,"自营,闪购",100000,900,900
19,苏泊尔,329,500000,"自营,新品,闪购",100000,900,900
26,苏泊尔,399,500000,"自营,闪购,券200-20",100000,900,900
29,苏泊尔,399,500000,"自营,闪购",100000,900,900
43,苏泊尔,329,500000,自营,100000,900,900
75,苏泊尔,358,500000,自营,100000,900,900
269,苏泊尔,399,500000,自营,100000,900,900
7,小熊,369,200000,自营,91000,500,500
38,小熊,449,200000,"自营,新品,每满449-50",91000,500,500
248,小熊,449,200000,自营,91000,500,500
52,山本,329,200000,"京东物流,每满329-100",87000,500,500
73,山本,329,200000,"京东物流,放心购,每满329-100",87000,500,500
81,山本,329,200000,放心购,87000,500,500
3,苏泊尔,209,500000,"自营,闪购",80000,900,900
41,苏泊尔,359,500000,"自营,闪购",80000,900,900
99,苏泊尔,310,500000,"自营,1件9折",80000,900,900
185,苏泊尔,209,500000,自营,80000,900,900
167,利仁,259,200000,"自营,闪购",68000,300,300
311,利仁,299,200000,"自营,闪购",68000,300,300
95,奥克斯,249,500000,"放心购,秒杀,免邮,每满249-70",66000,800,800
74,山本,369,200000,"自营,券369-20",60000,400,400
116,山本,321,200000,"自营,券279-10,1件9折",60000,400,400
148,山本,309,200000,自营,60000,400,400
166,山本,369,200000,"自营,券359-30",60000,400,400
178,山本,321,200000,"自营,券279-10,1件9折",60000,400,400
617,九阳,259,200000,"京东物流,放心购,秒杀,免邮",59000,500,500
6,米家,399,200000,自营,55000,300,300
20,米家,378,200000,自营,55000,300,300
28,小米,279,200000,自营,55000,300,300
30,米家,279,200000,自营,55000,300,300
175,飞利浦,2299,100000,"自营,券470-100,赠",49000,100,100
187,飞利浦,1554,100000,"自营,券470-100,1件9折",49000,100,100
268,飞利浦,1554,100000,"自营,券470-100,1件9折",49000,100,100
100,九阳,259,200000,"自营,券199-10,1件9折",37000,300,300
25,利仁,299,200000,自营,36000,400,400
47,利仁,379,200000,"自营,闪购",36000,400,400
111,利仁,219,200000,"自营,闪购",36000,400,400
174,利仁,189,200000,"自营,闪购",36000,400,400
72,利仁,279,100000,"自营,闪购",34000,300,300
146,利仁,279,100000,"自营,闪购,1件9折",34000,300,300
216,利仁,279,100000,"自营,闪购",34000,300,300
199,九阳,379,50000,"京东物流,放心购,秒杀,每满379-180",28000,80,80
689,九阳,549,50000,"京东物流,放心购,秒杀,每满529-270",28000,80,80
90,九阳,665,100000,"自营,1件9折",24000,300,300
204,九阳,777,100000,"自营,1件9折",24000,300,300
535,九阳,288,100000,"自营,1件9折",24000,300,300
714,利仁,239,50000,"自营,闪购",24000,100,100
9,奥克斯,199,100000,自营,22000,200,200
13,奥克斯,179,100000,自营,22000,200,200
53,空气,199,100000,自营,22000,200,200
58,空气,179,100000,自营,22000,200,200
22,奥克斯,229,100000,每满229-80,21000,200,200
103,美的,309,100000,"自营,闪购,1件9折",21000,200,200
120,奥克斯,259,100000,"京东物流,放心购,秒杀,每满259-80",21000,200,200
131,奥克斯,279,100000,"京东物流,放心购,每满279-100",21000,200,200
139,奥克斯,229,100000,放心购,21000,200,200
279,美的,183,100000,"自营,1件9折",21000,200,200
368,美的,265,100000,"自营,闪购,1件9折",21000,200,200
63,小熊,399,100000,"自营,每满399-180",20000,100,100
572,小熊,499,100000,"自营,满399-100",20000,100,100
667,长帝,587,20000,"自营,1件9折",18000,100,100
669,长帝,476,20000,"自营,1件9折",18000,100,100
322,利仁,519,20000,"自营,闪购,每满300-20",17000,100,100
393,利仁,259,20000,"自营,闪购,1件9折",17000,100,100
531,利仁,439,20000,"自营,闪购",17000,100,100
558,利仁,439,20000,"自营,闪购",17000,100,100
24,九阳,699,50000,自营,16000,100,100
76,九阳,699,50000,"自营,券699-200",16000,100,100
55,九阳,489,20000,"京东物流,放心购,闪购,免邮,",15000,40,40
59,美的,232,100000,"自营,闪购,1件9折",15000,100,100
66,飞利浦,649,50000,"自营,券600-150",15000,80,80
