,item,price,comments,icon,good,mid,bad
2,美的,2499,2000000,"自营,券999-30",1660000,2400,2400
5,美的,2499,2000000,"自营,券999-30",1660000,2400,2400
7,美的,2299,2000000,"自营,券999-30",1660000,2400,2400
10,美的,2699,2000000,"自营,券999-30",1660000,2400,2400
341,美的,2699,2000000,自营,1660000,2400,2400
8,格力,2799,3000000,"自营,券999-50",1080000,5700,5700
19,格力,2999,3000000,自营,1080000,5700,5700
31,格力,2599,3000000,"自营,券999-50",1080000,5700,5700
85,美的,3099,500000,"自营,券999-30,满10000-300",650000,1100,1100
89,美的,3799,500000,"自营,券999-30,满10000-300,赠",650000,1100,1100
92,美的,2799,500000,"自营,券999-30,满10000-300",650000,1100,1100
179,美的,2999,500000,"自营,券999-30,满10000-300",650000,1100,1100
288,美的,3099,500000,自营,650000,1100,1100
289,格力,1499,1000,无,650000,1100,1100
422,美的,2899,500000,"自营,券999-30,满10000-300",650000,1100,1100
230,格力,15796,1000000,"自营,券3999-300",570000,3200,3200
349,格力,3199,1000000,自营,470000,2700,2700
336,格力,2699,500000,自营,460000,80,80
14,TCL,1729,500000,自营,450000,1300,1300
27,TCL,2099,500000,"自营,每满2090-100",450000,1300,1300
46,TCL,2199,500000,自营,450000,1300,1300
54,TCL,1649,500000,自营,450000,1300,1300
112,TCL,2999,500000,自营,450000,1300,1300
131,TCL,2049,500000,自营,450000,1300,1300
156,TCL,4299,500000,自营,450000,1300,1300
173,TCL,2699,500000,自营,450000,1300,1300
248,TCL,2249,500000,自营,450000,1300,1300
253,TCL,2599,500000,自营,450000,1300,1300
270,TCL,2999,500000,自营,450000,1300,1300
294,TCL,2049,500000,自营,450000,1300,1300
425,TCL,2599,500000,自营,450000,1300,1300
3,小米,1999,200000,自营,260000,700,700
16,小米,2249,200000,"自营,满1000-100",260000,700,700
21,奥克斯,2329,200000,"自营,券5000-200,每满2300-230",260000,300,300
41,小米,1999,200000,"自营,满1000-100",260000,700,700
44,奥克斯,2529,200000,"自营,券5000-200,每满2500-230",260000,300,300
60,奥克斯,2329,200000,自营,260000,300,300
354,奥克斯,3999,200000,"自营,券5000-200,每满3000-200",260000,300,300
392,小米,1899,200000,自营,260000,700,700
448,奥克斯,2529,200000,自营,260000,300,300
471,小米,2249,200000,自营,260000,700,700
33,华凌,2299,200000,"自营,秒杀,每满2329-30",220000,400,400
4,长虹,1849,200000,"自营,每满1800-50",210000,600,600
15,长虹,2099,200000,"自营,每满2000-50",210000,600,600
65,长虹,1999,200000,"自营,每满1900-50",210000,600,600
94,长虹,2099,200000,自营,210000,600,600
99,美的,4599,200000,"自营,券999-50,满10000-300",210000,200,200
103,美的,5599,200000,"自营,券999-50,满10000-300",210000,200,200
125,美的,5599,200000,"自营,券999-50,满10000-300",210000,200,200
177,长虹,1849,200000,自营,210000,600,600
338,美的,5499,200000,"自营,券999-50,满10000-300",210000,200,200
414,长虹,1999,200000,自营,210000,600,600
76,格力,3199,500000,自营,200000,1000,1000
106,海信,2299,200000,自营,200000,500,500
138,格力,3199,500000,"自营,满10000-300",200000,1000,1000
139,美的,1999,70,无,200000,1000,1000
227,格力,2999,500000,自营,200000,1000,1000
372,美的,11497,200000,"自营,券999-50",200000,300,300
9,康佳,1699,200000,"自营,秒杀",190000,600,600
11,康佳,1599,200000,自营,190000,600,600
20,华凌,2129,200000,"自营,每满2129-30",190000,300,300
78,华凌,1999,200000,"自营,满10000-300",190000,300,300
171,华凌,2799,200000,自营,190000,300,300
205,康佳,1999,200000,"自营,每满1900-100",190000,600,600
206,华凌,2999,200000,自营,190000,300,300
216,康佳,1699,200000,自营,190000,600,600
234,康佳,1999,200000,自营,190000,600,600
277,华凌,2999,200000,"自营,满10000-300",190000,300,300
313,华凌,1999,200000,自营,190000,300,300
462,华凌,1999,200000,自营,190000,300,300
17,小米,2099,200000,"自营,满1000-100",180000,500,500
