,item,price,comments,icon,good,mid,bad
0,Haier,3499,2,自营,0,0,0
1,Haier,3499,2,"自营,厂商配送,新品",0,0,0
2,Ronsleda,465,200,"满499-8,赠",400,0,0
3,日立,11800,1000,"自营,厂商配送",600,0,0
4,海尔,1799,20000,"自营,厂商配送",5700,30,30
5,海尔,2199,5000,"自营,厂商配送",2600,10,10
6,日立,46500,100,"自营,厂商配送",60,0,0
7,ASIKEE,5599,200,满5555-600,100,0,0
8,海尔,1899,10000,"免邮,每满1899-100",100,0,0
9,海尔,1799,100000,"京东物流,免邮",34000.0,200,200
10,海尔,1699,100000,"京东物流,免邮",34000.0,200,200
11,海尔,2399,20000,"免邮,满2399-300",14000.0,90,90
12,海尔,2499,20000,"京东物流,免邮",9000,50,50
13,海尔,2499,20000,无,9000,50,50
14,海尔,3799,39,自营,10,0,0
15,海尔,1799,100,"自营,厂商配送",20,0,0
16,海尔,1799,100,自营,20,0,0
17,海尔,1999,100,"自营,厂商配送",20,0,0
18,海尔,1999,100,自营,20,0,0
19,海尔,899,20000,"京东物流,放心购,免邮,券8888-88,",7100,30,30
20,海尔,1098,20000,"放心购,秒杀,免邮,券8888-88,赠",7100,30,30
21,海尔,1099,50000,无,24000.0,100,100
22,海尔,1299,50000,"京东物流,免邮",24000.0,100,100
23,海尔,699,50000,"京东物流,免邮",24000.0,100,100
24,HYUNDAI,1498,2000,"秒杀,免邮,券1548-50,赠",1400,20,20
25,HYUNDAI,1599,2000,"免邮,券300-5,赠",1400,20,20
26,HYUNDAI,558,50000,"秒杀,券300-5,每满578-20,赠",18000.0,300,300
27,HYUNDAI,538,50000,"京东物流,秒杀,每满558-20,赠",18000.0,300,300
28,HYUNDAI,698,10000,"秒杀,免邮,券300-5,每满708-10,赠",2600,30,30
29,HYUNDAI,698,10000,"秒杀,免邮,券300-5,每满708-10,赠",4400,60,60
30,HYUNDAI,418,200000,"秒杀,赠",58000.0,900,900
31,海尔,3299,2000,自营,2100,0,0
32,海尔,3299,2000,自营,100,0,0
33,海尔,1149,100000,"自营,满100-50",38000.0,300,300
34,LG,5999,0,"自营,券5000-200",100,0,0
35,LG,22999,0,自营,100,0,0
36,海尔,98999,0,自营,0,0,0
37,Ronsleda,478,200,无,100,0,0
38,Ronsleda,455,11,赠,100,0,0
39,Ronsleda,487,1000,无,300,0,0
40,Ronsleda,499,8,"新品,满40-30,赠",0,0,0
41,Ronsleda,468,2000,"免邮,券100-10,赠",400,20,20
42,山水,2249,100,满1999-100,20,0,0
43,SCANCOOL,139999,0,"自营,厂商配送,新品",100,0,0
44,TCL,768,0,"闪购,免邮,券1500-20",100,0,0
45,TCL,768,500000,"自营,闪购",370000.0,3000,3000
46,TCL,1248,50000,"自营,闪购",19000.0,100,100
47,TCL,1099,5000,"自营,券1500-20",100,0,0
48,TCL,1899,1000,"自营,券1500-20,满1898-100",400,0,0
49,TCL,2499,100000,自营,47000.0,300,300
50,TCL,2199,5000,"自营,券1500-20,满2198-100",2800,10,10
51,TCL,2149,80,"京东物流,免邮",10,0,0
52,TCL,2199,5000,自营,2800,10,10
53,TCL,2199,100000,"自营,满1000-100,赠",47000.0,300,300
54,TCL,2299,100000,"自营,满2200-100",47000.0,300,300
55,TCL,1899,200000,"自营,满1700-100,赠",100000.0,500,500
56,TCL,2699,100000,"自营,满1000-100",47000.0,300,300
57,TCL,1999,0,"自营,券1500-20",100,0,0
58,TCL,2199,5000,"自营,厂商配送",1900,10,10
59,TCL,2199,100000,"自营,满1000-100",39000.0,100,100
60,TCL,2598,200,"秒杀,免邮,券1500-20",100,0,0
61,TCL,2799,2000,"自营,券1500-20,满2680-100",1200,0,0
62,TCL,1999,5000,"自营,厂商配送",100,0,0
63,TCL,2299,2000,"自营,券1500-20",900,0,0
64,TCL,998,500000,"自营,厂商配送,闪购",380000.0,3000,3000
65,TCL,1098,500000,"自营,闪购,赠",430000.0,4100,4100
66,TCL,1098,500000,自营,380000.0,3000,3000
67,TCL,2299,2000,自营,900,0,0
68,TCL,2399,100000,"自营,赠",39000.0,100,100
69,TCL,2398,100000,"自营,厂商配送,新品,闪购,",39000.0,100,100
70,TCL,2198,100000,"自营,厂商配送,闪购",39000.0,100,100
71,TCL,2698,100000,"自营,厂商配送,新品,闪购,",39000.0,100,100
72,TCL,2199,1000,无,400,0,0
73,TCL,3199,200,"自营,券1500-20,满3198-200",100,0,0
74,TCL,1999,1000,无,400,0,0
75,YZZN,398,12,无,0,0,0
76,YZZN,398,0,无,100,0,0
77,奥克斯,298,50000,"京东物流,放心购,秒杀,赠",15000.0,200,200
78,奥克斯,378,200000,"京东物流,秒杀,赠",52000.0,900,900
79,奥克斯,438,0,"京东物流,赠",100,0,0
80,奥克斯,498,0,"京东物流,赠",100,0,0
81,奥克斯,488,200000,"京东物流,赠",52000.0,900,900
82,奥克斯,518,200000,"京东物流,赠",52000.0,900,900
83,海尔,4099,0,"券3850-100,满4000-200",100,0,0
84,奥克斯,878,0,无,100,0,0
85,奥克斯,488,10000,"满488-10,赠",500,0,0
86,奥克斯,489,0,"自营,厂商配送",100,0,0
87,奥克斯,498,500,自营,70,0,0
88,奥克斯,888,1000,无,100,0,0
89,奥克斯,2098,0,"满2098-100,赠",100,0,0
90,奥克斯,298,1000,京东物流,100,0,0
91,奥克斯,308,10000,赠,1800,30,30
92,奥克斯,308,10000,"券99-10,赠",1800,30,30
93,奥克斯,528,0,赠,100,0,0
94,奥克斯,308,500,满308-10,80,0,0
95,奥克斯,448,1000,无,300,0,0
96,奥克斯,408,100000,赠,8500,60,60
97,奥克斯,408,200,"满300-10,赠",30,0,0
98,奥克斯,398,0,京东物流,100,0,0
99,奥克斯,808,2000,"券798-30,赠",500,10,10
100,奥克斯,308,5000,满308-10,700,10,10
101,奥克斯,388,20000,"满388-10,赠",8700,60,60
102,奥克斯,438,20000,"券3999-200,满428-10,赠",100,0,0
103,奥克斯,438,20000,"满428-10,赠",8700,60,60
104,奥克斯,528,0,"满508-10,赠",100,0,0
105,奥克斯,638,0,"满638-10,赠",100,0,0
106,奥马,749,200000,"自营,券99-15",340000.0,9000,9000
107,奥马,1099,2000,自营,3000,0,0
108,奥马,1799,200000,"自营,券99-15,满1600-300",230000.0,4400,4400
109,奥马,1999,200000,"自营,券99-15,满1500-200",230000.0,4400,4400
110,奥马,2199,20000,"自营,券99-15,满2000-400",16000.0,80,80
111,奥马,3199,20000,"自营,券99-15,满2000-400",16000.0,80,80
112,奥马,2599,20000,"自营,券99-15,满2000-300",16000.0,80,80
113,奥马,2599,20000,"自营,券99-15,满2000-200",16000.0,80,80
114,奥马,2899,1000,满2888-600,700,0,0
115,澳柯玛,1799,50000,自营,35000.0,400,400
116,冰熊,308,200000,无,45000.0,400,400
117,博世,16999,0,自营,0,0,0
118,博世,7699,20000,"自营,每满1000-100,赠",13000.0,80,80
119,创维,949,500000,自营,370000.0,2600,2600
120,创维,1049,100,自营,40,0,0
121,创维,1049,100,"自营,厂商配送",40,0,0
122,创维,799,500000,自营,370000.0,2600,2600
123,创维,1699,200,自营,30,0,0
124,创维,1899,50000,"自营,券1000-100",26000.0,100,100
125,创维,1529,200000,自营,83000.0,600,600
126,创维,799,100,京东物流,20,0,0
127,创维,2099,50000,"自营,券1000-100",26000.0,100,100
128,创维,2499,50000,"自营,券1000-100",27000.0,100,100
129,创维,2069,50000,"自营,秒杀,券1000-100",26000.0,100,100
130,创维,659,500000,"自营,新品",370000.0,2600,2600
131,创维,659,500000,自营,370000.0,2600,2600
132,创维,659,500000,自营,160000.0,800,800
133,创维,859,100,自营,40,0,0
