,item,price,comments,icon,good,mid,bad
0,海尔,2599,200000,自营,150000.0,400,400
1,奥克斯,1898,5000,秒杀,3100,10,10
2,美的,2499,2000000,"自营,券999-30",1660000.0,2400,2400
3,小米,1999,200000,自营,260000.0,700,700
4,长虹,1849,200000,"自营,每满1800-50",210000.0,600,600
5,美的,2499,2000000,"自营,券999-30",1660000.0,2400,2400
6,海尔,1949,10000,自营,7200,10,10
7,美的,2299,2000000,"自营,券999-30",1660000.0,2400,2400
8,格力,2799,3000000,"自营,券999-50",1080000.0,5700,5700
9,康佳,1699,200000,"自营,秒杀",190000.0,600,600
10,美的,2699,2000000,"自营,券999-30",1660000.0,2400,2400
11,康佳,1599,200000,自营,190000.0,600,600
12,奥克斯,5299,10000,自营,8000,10,10
13,奥克斯,1768,5000,秒杀,3100,10,10
14,TCL,1729,500000,自营,450000.0,1300,1300
15,长虹,2099,200000,"自营,每满2000-50",210000.0,600,600
16,小米,2249,200000,"自营,满1000-100",260000.0,700,700
17,小米,2099,200000,"自营,满1000-100",180000.0,500,500
18,科龙,3199,200000,自营,160000.0,400,400
19,格力,2999,3000000,自营,1080000.0,5700,5700
20,华凌,2129,200000,"自营,每满2129-30",190000.0,300,300
21,奥克斯,2329,200000,"自营,券5000-200,每满2300-230",260000.0,300,300
22,海尔,2399,5000,免邮,2500,10,10
23,小米,1858,83,无,10,0,0
24,海尔,7799,500,无,400,0,0
25,海尔,1899,50000,"京东物流,放心购,免邮,每满1889-30",31000.0,100,100
26,科龙,1699,200000,自营,160000.0,400,400
27,TCL,2099,500000,"自营,每满2090-100",450000.0,1300,1300
28,MI,1699,50000,"自营,秒杀",35000.0,200,200
29,奥克斯,1899,5000,无,3100,10,10
30,奥克斯,1788,2000,"自营,厂商配送",800,0,0
31,格力,2599,3000000,"自营,券999-50",1080000.0,5700,5700
32,奥克斯,2099,2000,放心购,2000,0,0
33,华凌,2299,200000,"自营,秒杀,每满2329-30",220000.0,400,400
34,格力,2999,100,"京东物流,放心购,免邮,券999-30",30,0,0
35,申花,1248,100000,"秒杀,免邮",64000.0,900,900
36,山水,1739,20000,"放心购,免邮,券1100-10,满999-10,",8700,90,90
37,美的,2499,100000,自营,82000.0,100,100
38,海信,2199,100000,自营,100000.0,200,200
39,华凌,2089,2000,"放心购,秒杀,免邮,券5000-100",1000,0,0
40,格力,2799,10000,券2000-50,2200,30,30
41,小米,1999,200000,"自营,满1000-100",260000.0,700,700
42,海尔,2099,20000,"秒杀,免邮,券999-30,赠",5500,30,30
43,海尔,2399,200,无,50,0,0
44,奥克斯,2529,200000,"自营,券5000-200,每满2500-230",260000.0,300,300
45,小米,1599,50000,"自营,满1000-100",34000.0,100,100
46,TCL,2199,500000,自营,450000.0,1300,1300
47,MI,1899,50000,自营,35000.0,200,200
48,美的,1899,200,赠,100,0,0
49,科龙,2099,2000,自营,1800,10,10
50,海尔,2389,2000,"秒杀,免邮,券1999-30,每满2350-100",1300,10,10
51,奥克斯,1899,5000,自营,3100,10,10
52,申花,1099,100000,免邮,64000.0,900,900
53,科龙,2199,200000,"自营,券1000-100",160000.0,400,400
54,TCL,1649,500000,自营,450000.0,1300,1300
55,长虹,3899,100000,自营,75000.0,90,90
56,奥克斯,1899,5000,无,3100,10,10
57,奥克斯,2199,100000,"自营,券5000-200,每满2000-200",67000.0,60,60
58,科龙,2199,200000,自营,160000.0,400,400
59,美的,2498,10000,"自营,闪购",9100,20,20
60,奥克斯,2329,200000,自营,260000.0,300,300
61,山水,1379,20000,"放心购,免邮,券1100-10,满999-10,",8700,90,90
62,奥克斯,1788,2000,无,800,0,0
63,小米,2099,200000,自营,180000.0,500,500
64,山水,1149,20000,"放心购,免邮,券1100-10,满999-10,",8700,90,90
65,长虹,1999,200000,"自营,每满1900-50",210000.0,600,600
66,科龙,2499,200000,自营,160000.0,400,400
67,美的,1899,200,"券999-10,赠",100,0,0
68,海尔,2599,200000,"自营,券999-30,满5000-200",150000.0,400,400
69,奥克斯,1899,10000,无,4300,30,30
70,华凌,2399,2000,"自营,满10000-300",1800,0,0
71,荣事达,1209,10000,免邮,3300,70,70
72,荣事达,1159,50000,免邮,13000.0,300,300
73,美的,2698,10000,"自营,闪购",9100,20,20
74,美的,2299,5000,"自营,券2000-30",3000,0,0
75,格力,7199,100000,自营,48000.0,200,200
76,格力,3199,500000,自营,200000.0,1000,1000
77,海信,3299,50000,"自营,券3000-100",31000.0,80,80
78,华凌,1999,200000,"自营,满10000-300",190000.0,300,300
79,康佳,2999,20000,自营,12000.0,40,40
80,TCL,2199,20000,自营,15000.0,50,50
81,奥克斯,1788,5000,无,3100,10,10
82,长虹,1849,200,无,100,0,0
83,康佳,1549,20000,"免邮,每满1549-50",17000.0,100,100
84,MI,1499,50000,自营,35000.0,200,200
85,美的,3099,500000,"自营,券999-30,满10000-300",650000.0,1100,1100
86,TCL,3499,200000,自营,160000.0,300,300
87,科龙,2199,5000,"自营,券2000-100",2200,0,0
88,富士通,4599,5000,自营,4800,10,10
89,美的,3799,500000,"自营,券999-30,满10000-300,赠",650000.0,1100,1100
90,科龙,2099,2000,"自营,券2000-100,满1900-50",1800,10,10
91,奥克斯,1788,10000,无,4300,30,30
92,美的,2799,500000,"自营,券999-30,满10000-300",650000.0,1100,1100
93,奥克斯,2099,20000,"自营,厂商配送,赠",14000.0,50,50
94,长虹,2099,200000,自营,210000.0,600,600
95,美的,1898,200,"券2999-20,赠",100,0,0
96,美的,5999,50000,"自营,厂商配送,券999-50,,",51000.0,60,60
97,海尔,2449,200000,"自营,券999-30,满5000-200",150000.0,400,400
98,奥克斯,2399,100000,"自营,券5000-200,每满2000-200",67000.0,60,60
99,美的,4599,200000,"自营,券999-50,满10000-300",210000.0,200,200
100,科龙,4999,50000,自营,59000.0,100,100
101,科龙,2069,200000,"自营,秒杀,券1000-100",160000.0,400,400
102,TCL,4999,200000,自营,160000.0,300,300
103,美的,5599,200000,"自营,券999-50,满10000-300",210000.0,200,200
104,TCL,5499,200000,"自营,新品",160000.0,300,300
105,奥克斯,3488,2000,秒杀,2000,0,0
106,海信,2299,200000,自营,200000.0,500,500
107,奥克斯,4399,20000,"自营,券5000-200,每满4000-200",16000.0,20,20
108,科龙,5399,50000,自营,58000.0,100,100
109,海信,5299,50000,"自营,满5000-200",31000.0,80,80
110,华凌,1999,10000,"自营,券3500-50",7300,10,10
111,海信,1999,50000,自营,49000.0,80,80
112,TCL,2999,500000,自营,450000.0,1300,1300
113,美的,2699,500,"自营,券999-30",200,0,0
114,长虹,4799,100000,"自营,每满4700-200",75000.0,90,90
115,海信,2099,50000,自营,49000.0,80,80
116,海信,5299,50000,自营,31000.0,80,80
117,小米,2799,200000,自营,180000.0,500,500
118,小米,2999,200000,"自营,满1000-100",180000.0,500,500
119,小米,4999,100000,自营,92000.0,200,200
120,TCL,3549,200000,自营,160000.0,300,300
121,小米,2869,20000,"自营,秒杀",25000.0,100,100
122,科龙,2069,200000,自营,160000.0,400,400
123,Mitsubishi,3599,2000,自营,1200,10,10
124,格力,6029,200000,"自营,每满6029-30",150000.0,700,700
125,美的,5599,200000,"自营,券999-50,满10000-300",210000.0,200,200
126,深松,1209,5000,无,3700,0,0
127,美的,4699,50000,"自营,券999-50,满10000-300",51000.0,60,60
128,奥克斯,1489,200,"满1199-20,赠",100,0,0
129,华凌,2099,10000,"自营,券3500-50",7300,10,10
130,扬子,1649,20000,"自营,满1500-50",16000.0,60,60
131,TCL,2049,500000,自营,450000.0,1300,1300
132,华凌,1899,100000,自营,71000.0,100,100
133,荣事达,1209,10000,"京东物流,免邮",1700,10,10
134,华凌,3499,100000,"自营,满10000-300",73000.0,90,90
135,格力,2199,1000,无,73000.0,90,90
136,奥克斯,4348,2000,秒杀,2000,0,0
137,格力,1699,1000,无,2000,0,0
138,格力,3199,500000,"自营,满10000-300",200000.0,1000,1000
139,美的,1999,70,无,200000.0,1000,1000
140,格力,6299,50000,自营,27000.0,100,100
141,深松,1259,5000,无,3700,0,0
142,海信,3288,13,自营,0,0,0
143,1.5,980,200,免邮,40,0,0
144,格力,1239,2000,无,40,0,0
145,格力,2599,1000,无,40,0,0
146,海尔,2699,200000,"自营,券999-30,满5000-200",150000.0,400,400
147,新科,1499,10000,自营,9900,30,30
148,海信,3299,50000,自营,31000.0,80,80
149,格力,1359,1000,无,31000.0,80,80
150,申花,1099,5000,无,3300,10,10
151,格力,5299,50000,自营,27000.0,100,100
152,山水,1149,500,"放心购,满999-10",200,0,0
153,1.5,1189,5000,无,3900,0,0
154,科龙,1899,2000,"自营,每满1800-150",2000,0,0
155,格力,6199,20000,自营,11000.0,40,40
156,TCL,4299,500000,自营,450000.0,1300,1300
157,RZE,1729,500,新品,40,0,0
158,海尔,2599,200000,"自营,券999-30,满5000-200",150000.0,400,400
159,奥克斯,4348,2000,"自营,厂商配送",2000,0,0
160,RZE,1249,500,新品,40,0,0
161,华凌,3499,2000,自营,1600,0,0
162,华凌,3229,2000,"自营,每满3229-30",2300,0,0
163,海尔,2449,200000,"自营,券999-30,满5000-200",150000.0,400,400
164,1.5,1209,200,无,40,0,0
165,华凌,3229,2000,自营,2300,0,0
166,格力,1689,2000,无,2300,0,0
167,康佳,1199,65,免邮,0,0,0
168,格力,7499,100000,"自营,满10000-300",48000.0,200,200
169,科龙,4199,1000,自营,400,0,0
170,格力,5999,200000,自营,150000.0,700,700
171,华凌,2799,200000,自营,190000.0,300,300
172,科龙,3399,1000,自营,700,0,0
173,TCL,2699,500000,自营,450000.0,1300,1300
174,小米,4599,100000,自营,92000.0,200,200
