,item,price,comments,icon,good,mid,bad
255,小米,169,500000,自营,120000,1000,1000
8,德业,632,200000,"自营,1件9折",110000,700,700
36,欧井,610,50000,"自营,品质认证,1件9折",43000,100,100
61,欧井,610,50000,自营,43000,100,100
26,松井,539,50000,自营,41000,100,100
4,德业,1488,100000,"自营,券1488-200",40000,100,100
30,德业,1488,100000,自营,40000,100,100
33,欧井,1210,50000,"自营,1件9折",35000,100,100
10,百奥,998,50000,"自营,品质认证,1件9折",34000,100,100
450,百奥,998,50000,自营,34000,100,100
42,德业,2220,50000,"自营,1件9折",33000,100,100
110,奥克斯,239,100000,"京东物流,免邮,满219-10",32000,500,500
72,JHS,499,20000,"京东物流,放心购,免邮",27000,300,300
186,JHS,499,20000,放心购,27000,300,300
330,JHS,649,20000,"京东物流,放心购,免邮",27000,300,300
607,JHS,1799,20000,"京东物流,放心购,免邮",27000,300,300
80,欧井,2221,20000,"自营,1件9折",26000,60,60
0,湿美,2349,20000,无,23000,0,0
250,湿美,699,20000,无,23000,0,0
462,湿美,1399,20000,免邮,23000,0,0
488,湿美,11500,20000,免邮,23000,0,0
581,湿美,1899,20000,免邮,23000,0,0
778,湿美,1699,20000,无,23000,0,0
829,湿美,6500,20000,无,23000,0,0
32,百奥,599,20000,"自营,1件9折",17000,100,100
1,美的,666,50000,"自营,品质认证,1件9折",15000,200,200
13,德业,1110,50000,"自营,1件9折",15000,100,100
49,格力,1780,20000,自营,15000,80,80
67,德业,1110,50000,自营,15000,100,100
204,格力,1780,20000,自营,15000,80,80
267,樱之花,34,50000,"自营,券99-10,2件9.5折",13000,40,40
280,戴旗,249,10000,"京东物流,免邮,券149-15,满200-30",13000,0,0
295,樱之花,50,50000,"自营,券119-20,2件9.5折",13000,40,40
339,戴旗,249,10000,"京东物流,免邮,券149-15,满200-30",13000,0,0
15,百奥,1888,10000,"自营,1件9折",12000,20,20
118,hysure,159,10000,"京东物流,秒杀,每满159-10",12000,10,10
426,百奥,1888,10000,自营,12000,20,20
20,松下,1299,20000,自营,10000,90,90
365,松下,1299,20000,自营,10000,90,90
638,苏泊尔,289,50000,"京东物流,放心购,闪购,每满289-100",9900,90,90
52,德业,1299,10000,"京东物流,免邮",9400,10,10
102,德业,1299,10000,放心购,9400,10,10
491,hysure,149,10000,"京东物流,每满149-20",8200,0,0
632,锐玛,69,10000,"自营,券288-10",8000,70,70
751,锐玛,69,10000,自营,8000,70,70
429,多乐信,2580,10000,每满2580-200,7500,10,10
75,格力,2680,10000,自营,7000,30,30
2,美的,1110,20000,"自营,品质认证,1件9折",6700,40,40
65,多乐信,2550,20000,"自营,1件9折",6500,20,20
96,多乐信,2550,20000,自营,6500,20,20
130,松下,2550,20000,自营,6500,20,20
63,德业,1288,10000,"京东物流,放心购,免邮",6300,10,10
44,格力,1280,10000,自营,6200,20,20
211,赛特斯,119,10000,免邮,6200,200,200
7,奥克斯,329,20000,"自营,每满300-90",5100,100,100
37,格力,1098,20000,自营,5000,60,60
3,小米,1198,20000,"自营,秒杀",4800,50,50
83,德尔玛,69,20000,"自营,券300-30",4800,70,70
163,小米,1198,20000,自营,4800,50,50
185,格力,2480,5000,自营,4400,30,30
382,JHS,549,2000,"京东物流,放心购,免邮",4400,30,30
355,湿美,1699,5000,无,4100,0,0
645,湿美,2199,5000,"京东物流,免邮",4100,0,0
106,德业,2199,5000,"京东物流,放心购,免邮,",4000,0,0
434,小艾,199,2000,无,3800,30,30
763,小艾,439,2000,无,3800,30,30
166,格力,2980,10000,自营,3600,10,10
288,格力,2980,10000,"京东物流,免邮",3600,10,10
271,松下,1999,5000,"免邮,每满1900-300",3500,10,10
85,海尔,999,5000,"京东物流,免邮,券2000-50,",3300,10,10
207,德业,1288,5000,"京东物流,放心购,免邮,",3300,0,0
243,海尔,999,5000,"京东物流,放心购,免邮,每满999-200",3300,10,10
229,欧井,3311,2000,"自营,1件9折",3100,0,0
31,德业,1488,5000,"京东物流,秒杀,免邮,每满1488-200",3000,10,10
53,奥克斯,259,10000,"免邮,券259-60",3000,90,90
142,奥克斯,399,10000,"京东物流,免邮,券399-100",3000,90,90
681,先科,239,5000,"免邮,每满239-40",3000,30,30
202,J,149,10000,"京东物流,放心购,满109-20",2800,40,40
264,美的,649,20000,"免邮,满649-50,赠",2800,20,20
489,J,139,10000,"放心购,满103-20",2800,40,40
597,J,169,10000,"放心购,满109-20",2800,40,40
472,德业,3680,2000,无,2500,0,0
575,湿曼,2249,2000,无,2400,0,0
28,百奥,1199,5000,"自营,品质认证,1件9折",2300,10,10
58,hysure,189,10000,"京东物流,每满189-50",2300,20,20
69,美的,1666,10000,"自营,1件9折",2300,20,20
136,hysure,189,10000,无,2300,20,20
5,志高,269,10000,"京东物流,免邮,每满259-30",2200,20,20
103,格力,888,5000,自营,2200,10,10
227,志高,269,10000,无,2200,20,20
270,松井,1999,2000,自营,2200,0,0
16,志高,999,20000,"京东物流,免邮,每满979-100",2100,20,20
39,志高,999,20000,无,2100,20,20
539,鸿迪,138,10000,自营,2000,30,30
70,美的,2222,5000,"自营,1件9折",1900,20,20
486,松下,3699,2000,"免邮,每满3600-1000",1900,0,0
589,Jestar,419,2000,"京东物流,免邮,满220-30",1900,10,10
625,Jestar,249,2000,"京东物流,免邮,满220-30",1900,10,10
674,Jestar,279,2000,"京东物流,免邮",1900,10,10
719,南极人,59,10000,无,1900,40,40
841,南极人,79,10000,无,1900,40,40
21,多乐信,1977,5000,"自营,1件9折",1800,10,10
48,京东京造,1099,10000,"自营,闪购",1800,20,20
122,浩立德,499,5000,"免邮,券369-100,满369-30",1800,0,0
124,多乐信,1977,5000,自营,1800,10,10
148,浩立德,529,5000,"免邮,券369-100,满369-30",1800,0,0
238,松下,1977,5000,自营,1800,10,10
480,艾普莱斯,899,2000,"京东物流,放心购,券880-40,",1800,0,0
593,浩立德,559,5000,"免邮,券369-100,满369-30",1800,0,0
753,浩立德,469,5000,满369-30,1800,0,0
547,德业,3680,2000,"免邮,赠",1700,0,0
825,向物,79,10000,无,1700,20,20
257,格力,888,5000,"放心购,免邮",1600,10,10
335,格力,888,5000,放心购,1600,10,10
580,松下,2098,2000,"京东物流,放心购,免邮",1600,0,0
133,志高,269,10000,"京东物流,免邮,每满263-20",1500,40,40
138,浦力适,1268,2000,自营,1500,0,0
496,智选京品,69,10000,"自营,1件9折",1500,40,40
240,美的,599,1000,满599-30,1400,0,0
277,南极人,19,5000,免邮,1400,50,50
405,南极人,39,5000,无,1400,50,50
560,美的,1099,1000,满1099-150,1400,0,0
736,南极人,45,5000,无,1400,50,50
764,南极人,29,5000,无,1400,50,50
24,新典,2499,2000,无,1300,0,0
135,奥克斯,259,5000,"免邮,满199-40",1300,40,40
214,多乐信,799,2000,"京东物流,免邮,每满799-100",1300,10,10
807,新典,2499,2000,每满1999-500,1300,0,0
105,欧井,1208,2000,"自营,1件9折",1200,0,0
109,多乐信,1644,2000,"自营,1件9折",1200,0,0
139,松下,2699,2000,自营,1200,0,0
144,松下,2898,2000,自营,1200,0,0
340,JHS,599,1000,"京东物流,放心购,免邮",1200,0,0
464,德业,3280,2000,"自营,券3280-700",1200,0,0
523,活仕,1688,1000,"免邮,每满200-20",1200,0,0
613,活仕,1999,1000,"免邮,每满200-20",1200,0,0
665,活仕,2688,1000,"免邮,每满200-20",1200,0,0
9,OIDIRE,349,10000,"券1500-120,满299-110,赠",1100,10,10
17,海尔,1199,2000,"京东物流,秒杀,免邮,券2000-50,",1100,0,0
40,德业,699,5000,"京东物流,免邮,每满699-60",1100,0,0
92,海尔,699,2000,"京东物流,放心购,免邮,每满699-100",1100,0,0
97,德业,1288,2000,"自营,秒杀,每满1288-118",1100,0,0
433,贝菱,2380,1000,无,1100,0,0
550,80,1298,5000,自营,1100,0,0
635,美的,599,2000,无,1100,0,0
19,京东京造,549,5000,"自营,闪购",1000,10,10
22,德业,1824,2000,"自营,1件9折",1000,0,0
154,松下,3699,2000,自营,1000,0,0
159,志高,269,5000,"京东物流,免邮,满259-20",1000,30,30
356,扬子,229,5000,每满200-20,1000,10,10
497,志高,269,5000,"京东物流,免邮,每满269-30",1000,30,30
501,奥克斯,699,2000,"免邮,满690-100",1000,10,10
663,美的,2299,1000,"免邮,满2299-100,赠",1000,0,0
705,活仕,2088,1000,每满200-20,1000,0,0
56,奥克斯,239,2000,"免邮,每满230-30",900,10,10
111,苏泊尔,189,5000,"自营,闪购,券1500-120",900,20,20
329,格力,958,2000,"京东物流,免邮,每满958-70",900,0,0
331,多乐信,2410,5000,"自营,1件9折",900,0,0
406,格力,2980,2000,每满2980-300,900,0,0
567,AIRPLUS,659,2000,"券640-30,每满620-140",900,0,0
25,奥克斯,589,2000,"京东物流,免邮,券589-100",800,0,0
73,湿美,1899,1000,无,800,0,0
131,飞利浦,2299,2000,"自营,券4000-400",800,10,10
469,湿美,1899,1000,免邮,800,0,0
482,美的,1099,1000,满1099-150,800,0,0
485,浩立德,319,2000,"免邮,券259-80",800,0,0
537,贝乐凯,89,2000,"京东物流,1件9折",800,0,0
544,浩立德,289,2000,"免邮,券259-80",800,0,0
637,湿美,699,1000,免邮,800,0,0
756,美的,2099,1000,满1000-200,800,0,0
59,德业,3580,2000,"自营,1件9折",700,0,0
125,海尔,1220,2000,"自营,1件9折",700,0,0
171,志高,599,10000,"京东物流,免邮,每满579-10",700,10,10
198,志高,599,10000,无,700,10,10
328,荣事达,559,500,无,700,0,0
444,志高,2599,10000,无,700,10,10
460,松下,2798,2000,"京东物流,免邮",700,0,0
734,南极人,19,2000,无,700,20,20
740,荣事达,699,500,无,700,0,0
798,松京,1900,1000,"自营,1件9折",700,0,0
11,海尔,665,2000,"自营,1件9折",600,10,10
14,美的,1777,2000,"自营,1件9折",600,10,10
34,百奥,779,2000,"自营,1件9折",600,0,0
35,斗禾,299,5000,"京东物流,免邮,满280-30",600,0,0
101,德业,1488,2000,"放心购,免邮,每满1488-200",600,0,0
245,志高,699,2000,"京东物流,免邮,每满600-60",600,0,0
294,多乐信,1199,1000,"放心购,免邮,每满1199-200",600,0,0
308,志高,639,2000,"京东物流,免邮,每满590-40",600,0,0
353,志高,599,10000,无,600,0,0
372,湿,299,500,无,600,0,0
404,海尔,1099,500,满889-40,600,0,0
418,南极人,19,2000,无,600,20,20
701,海尔,2199,500,无,600,0,0
817,南极人,29,2000,无,600,20,20
47,松下,1199,2000,京东物流,500,0,0
55,多乐信,1100,2000,"自营,1件9折",500,0,0
81,海信,699,2000,"自营,每满698-130",500,0,0
108,多乐信,1100,2000,自营,500,0,0
132,奥克斯,579,2000,"京东物流,放心购,券549-50",500,0,0
156,苏泊尔,189,2000,"自营,闪购,券1500-120",500,0,0
170,松下,4299,1000,自营,500,0,0
181,赛特斯,119,500,免邮,500,20,20
239,戴旗,249,20000,"京东物流,免邮,券249-70",500,0,0
254,海尔,1299,2000,券1299-400,500,0,0
289,海尔,1499,2000,券1499-380,500,0,0
307,MI,5880,1000,无,500,0,0
371,夏人,119,1000,无,500,0,0
413,安诗曼,1199,1000,无,500,0,0
477,松井,229,500,无,500,0,0
566,松京,2644,2000,"自营,厂商配送,1件9折",500,0,0
570,戴旗,249,20000,"京东物流,免邮,券249-70",500,0,0
574,海尔,679,2000,"自营,每满669-110",500,0,0
643,赛特斯,599,500,免邮,500,0,0
785,安诗曼,1099,1000,无,500,0,0
57,海尔,1665,2000,"自营,1件9折",400,0,0
62,奥克斯,239,2000,"放心购,免邮,每满239-10,赠",400,0,0
66,美的,2444,1000,"自营,1件9折",400,0,0
93,海信,499,2000,券499-30,400,0,0
95,海信,569,2000,券499-30,400,0,0
117,奥克斯,1388,1000,"自营,满1300-389",400,0,0
199,格力,3180,2000,自营,400,0,0
347,志高,1099,5000,放心购,400,0,0
461,松京,2480,2000,"自营,厂商配送,1件9折",400,0,0
526,志高,699,2000,"免邮,每满685-60",400,0,0
538,松下,3699,1000,"免邮,每满3600-1000",400,0,0
546,志高,1299,2000,"免邮,每满1299-140",400,0,0
640,TCL,1899,500,"每满1000-100,赠",400,0,0
641,海信,999,2000,券499-30,400,0,0
671,百奥,1199,1000,"自营,品质认证,1件9折",400,0,0
677,松下,1999,1000,"免邮,每满1900-300",400,0,0
679,志高,1299,500,"免邮,每满1270-100",400,0,0
692,格力,2499,500,满2499-700,400,0,0
745,志高,739,2000,每满739-40,400,0,0
773,志高,639,2000,满639-40,400,0,0
12,新典,2898,500,无,300,0,0
41,志高,599,2000,"京东物流,免邮,每满589-40",300,0,0
46,TCL,1199,1000,"京东物流,券300-30,满200-30",300,0,0
79,志高,599,2000,无,300,0,0
127,格力,2480,1000,自营,300,0,0
129,奥克斯,699,1000,"自营,每满699-150",300,0,0
177,松下,2098,1000,自营,300,0,0
192,欧井,2399,2000,自营,300,0,0
210,湿,1199,1000,放心购,300,0,0
224,格力,968,1000,自营,300,0,0
225,松下,1099,22,无,300,0,0
230,浦力适,1188,1000,"京东物流,放心购,免邮",300,0,0
233,海信,1899,1000,"自营,每满1898-200",300,0,0
242,美的,599,1000,无,300,0,0
244,志高,2399,2000,无,300,0,0
265,hysure,149,1000,"京东物流,放心购,每满149-30",300,0,0
282,MI,7680,2000,"免邮,每满7600-1300",300,0,0
310,Jessga,419,2000,"券300-50,满200-30",300,0,0
315,苏泊尔,199,2000,"京东物流,闪购,满199-10",300,0,0
321,欧井,2399,2000,"自营,每满2390-400",300,0,0
327,扬子,59,2000,免邮,300,0,0
352,TCL,1199,1000,"京东物流,放心购,券300-30,",300,0,0
361,德业,3280,500,赠,300,0,0
366,扬子,69,2000,无,300,0,0
380,扬子,69,2000,无,300,0,0
407,hysure,199,1000,每满189-30,300,0,0
419,格力,5999,1000,"京东物流,免邮,赠",300,0,0
533,德业,3423,500,"自营,1件9折",300,0,0
534,AIRPLUS,669,500,"京东物流,放心购,券300-30,",300,0,0
535,志高,198,29,无,300,0,0
548,TCL,999,1000,"京东物流,放心购,券999-340,",300,0,0
584,百奥,3999,1000,"自营,厂商配送,1件9折",300,0,0
586,扬子,109,2000,免邮,300,0,0
610,智普瑞,2380,500,券2000-300,300,0,0
697,扬子,89,2000,无,300,0,0
703,hysure,279,1000,每满279-30,300,0,0
710,活仕,5688,200,每满200-20,300,0,0
713,扬子,119,2000,无,300,0,0
744,扬子,109,2000,无,300,0,0
747,智普瑞,2860,500,无,300,0,0
786,海信,1199,10000,满999-200,300,0,0
789,美的,1999,1000,无,300,0,0
836,川岛,699,500,无,300,0,0
27,小米,1199,1000,免邮,200,0,0
38,京东京造,999,1000,自营,200,0,0
45,奥克斯,529,1000,"京东物流,免邮,每满529-30,赠",200,0,0
76,美的,1099,1000,自营,200,0,0
90,奥克斯,529,1000,无,200,0,0
104,小米,399,500,"京东物流,免邮,每满399-20",200,0,0
107,美的,599,1000,免邮,200,0,0
115,VCJ,138,1000,"免邮,券99-15",200,0,0
123,南极人,118,200,无,200,0,0
140,奥克斯,299,1000,"京东物流,放心购,免邮,每满299-60",200,0,0
174,京东京造,1999,500,"自营,厂商配送,闪购",200,0,0
212,美的,1599,1000,免邮,200,0,0
248,一觅,199,200,无,200,0,0
256,小米,399,500,无,200,0,0
266,格力,1880,500,自营,200,0,0
281,奥克斯,329,500,"放心购,免邮,券319-50",200,0,0
296,美的,999,1000,免邮,200,0,0
378,川井,688,200,无,200,0,0
436,IGO,259,500,满259-60,200,0,0
465,小米,1229,1000,"闪购,免邮",200,0,0
481,美的,2299,200,"免邮,满2299-100,赠",200,0,0
514,新科,499,500,无,200,0,0
